	Tomato Data Entry			Characterization Descriptors							Quality Measures					
1069-1	SCT_0275	1069	1	p	i	s	a	p	2009/08/19	.	6.08	4.45	0.413007497846363			
1070-1	SCT_0282	1070	1	p	i	s	a	p	2009/08/13	.	6.86	4.17	0.572108011528604			
1071-1	SCT_0159	1071	1	p	d	i	p	p	2009/08/11	.	4.19	4.32	0.333457241005243			
1072-1	SCT_0344	1072	1	p	i	c	p	p	2009/08/11	.	6.22	4.15	0.559576121752263			
1073-1	SCT_0482	1073	1	p	d	s	p	p	2009/08/07	.	4.36	4.25	0.429353441032895			
1074-1	SCT_0177	1074	1	p	i	s	p	p	2009/08/13	.	5.14	4.27	0.409738309209057			
1075-1	SCT_0225	1075	1	p	d	s	p	p	2009/08/13	.	4.45	4.41	0.351437778510428			
1076-1	SCT_0150	1076	1	p	d	s	p	p	2009/08/16	.	.	.	.			
1077-1	SCT_0205	1077	1	p	d	s	p	p	2009/08/13	.	5.11	4.32	0.426629117168473			
1078-1	SCT_0193	1078	1	p	d	s	a	p	2009/08/13	.	5.63	4.27	0.464224786497495			
1079-1	SCT_0198	1079	1	p	d	s	a	p	2009/08/13	.	5.69	4.42	0.396116689886947			
1080-1	SCT_0221	1080	1	p	i	c	a	p	2009/08/13	.	6.06	4.51	0.410283173981941			
1081-1	SCT_0226	1081	1	p	d	s	p	a	2009/08/16	.	5.49	4.52	0.326918863730631			
1082-1	SCT_0165	1082	1	p	i	c	a	a	2009/08/16	.	4.79	4.18	0.526339370606315			
1083-1	SCT_0208	1083	1	p	d	s	a	p	2009/08/13	.	5.99	4.25	0.488198836504408			
1084-1	SCT_0274	1084	1	p	d	s	p	a	2009/08/13	.	4.7	4.27	0.465859380816149			
1085-1	SCT_0235	1085	1	p	d	s	p	a	2009/08/03	.	5.11	4.45	0.319835621683134			
1086-1	SCT_0270	1086	1	p	d	i	p	p	2009/08/07	.	4.36	4.35	0.427718846714242			
1087-1	SCT_0189	1087	1	p	d	s	p	p	2009/08/11	.	5.32	4.31	0.417366416029438			
1088-1	SCT_0181	1088	1	p	d	s	p	p	2009/08/11	.	4.23	4.23	0.45986586831442			
1089-1	SCT_0272	1089	1	p	d	i	p	a	2009/08/11	.	5.17	4.35	0.392302636476757			
1090-1	SCT_0229	1090	1	p	d	s	p	p	2009/08/03	.	3.87	4.25	0.324739404639093			
1091-1	SCT_0209	1091	1	p	d	s	p	p	2009/08/11	.	3.71	4.29	0.339450753506972			
1092-1	SCT_0269	1092	1	p	d	s	a	a	2009/08/11	.	4.65	4.46	0.269163197804886			
1093-1	SCT_0163	1093	1	p	d	c	p	a	2009/07/28	.	3.64	4.15	0.432622629670201			
1094-1	SCT_0157	1094	1	p	d	c	p	p	2009/08/03	.	3.96	4.3	0.324739404639093			
1095-1	SCT_0232	1095	1	p	d	s	p	p	2009/08/13	.	5.68	4.45	0.393392366022525			
1096-1	SCT_0271	1096	1	p	d	s	p	p	2009/08/07	.	4.64	4.35	0.390123177385219			
1097-1	SCT_0147	1097	1	p	d	.	.	.	.	.	.	.	.			
1098-1	SCT_0220	1098	1	a	i	c	a	p	2009/08/07	.	5.28	4.41	0.40265506716156			
1099-1	SCT_0196	1099	1	p	d	s	p	p	2009/08/16	.	4.01	4.25	0.38521939442926			
1100-1	SCT_0211	1100	1	p	d	s	p	p	2009/08/13	.	5.8	4.42	0.429898305805779			
1101-1	SCT_0167	1101	1	p	d	s	p	p	2009/07/29	.	7.84	4.45	0.557396662660725			
1102-1	SCT_0194	1102	1	p	d	s	p	p	2009/08/13	.	5.36	4.4	0.41627668648367			
1103-1	SCT_0200	1103	1	p	d	s	p	p	2009/08/13	.	6.8	4.5	0.43371235921597			
1104-1	SCT_0173	1104	1	p	d	c	p	p	2009/08/13	.	5.36	4.34	0.458776138768652			
1105-1	SCT_0239	1105	1	p	d	s	p	p	2009/08/11	.	4.12	4.31	0.408648579663288			
1106-1	SCT_0201	1106	1	p	d	s	p	p	2009/08/11	.	6.06	4.24	0.462590192178842			
1107-1	SCT_0258	1107	1	p	d	c	p	p	2009/08/11	.	4.63	4.3	0.427718846714242			
1108-1	SCT_0176	1108	1	p	d	s	p	p	2009/08/13	.	4.91	4.48	0.366149127378306			
1109-1	SCT_0262	1109	1	p	i	c	p	p	2009/08/07	.	5.24	4.35	0.378681017154647			
1110-1	SCT_0192	1110	1	p	d	s	p	p	2009/08/03	.	3.46	4.37	0.307848596679677			
1111-1	SCT_0215	1111	1	p	d	s	p	a	2009/08/16	.	4.91	4.24	0.47348748763653			
1112-1	SCT_0241	1112	1	p	d	s	p	p	2009/08/07	.	4.78	4.37	0.368873451242728			
1113-1	SCT_0242	1113	1	p	d	s	p	p	2009/08/07	.	3.95	4.3	0.384129664883491			
1114-1	SCT_0256	1114	1	p	i	s	a	p	2009/08/11	.	5.83	4.37	0.462045327405958			
1115-1	SCT_0179	1115	1	p	d	s	a	p	2009/08/15	.	5.9	4.4	0.429898305805779			
1116-1	SCT_0168	1116	1	p	d	s	a	p	2009/08/03	.	.	.	.			
1117-1	SCT_0223	1117	1	p	i	i	p	p	2009/08/11	.	5.77	4.25	0.399930743297138			
1118-1	SCT_0231	1118	1	p	d	s	p	p	2009/08/13	.	6.88	4.56	0.441340466036351			
1119-1	SCT_0188	1119	1	p	d	s	a	p	2009/08/11	.	3.82	4.4	0.369418316015613			
1120-1	SCT_0202	1120	1	p	d	s	a	p	2009/08/07	.	4.85	4.4	0.381405341019069			
1121-1	SCT_0233	1121	1	p	d	c	p	a	2009/08/13	.	4.68	4.3	0.390668042158104			
1122-1	SCT_0217	1122	1	p	i	s	p	p	2009/08/13	.	4.91	4.34	0.365059397832538			
1123-1	SCT_0214	1123	1	p	d	s	p	p	2009/08/13	.	4.57	4.33	0.358521020557925			
1124-2	SCT_0204	1124	2	p	d	s	p	a	2009/08/13	.	3.37	4.22	0.343809671690047			
1125-2	SCT_0171	1125	2	p	d	s	p	p	2009/07/29	.	.	.	.			
1126-2	SCT_0252	1126	2	p	d	s	p	a	2009/08/13	.	.	.	.			
1127-2	SCT_0143	1127	2	p	d	c	p	a	2009/08/03	.	3.33	4.32	0.280060493262574			
1128-2	SCT_0206	1128	2	p	d	s	p	p	2009/08/13	.	4.5	4.28	0.366149127378306			
1129-2	SCT_0246	1129	2	p	d	s	p	p	2009/08/16	.	4.4	4.35	0.383039935337722			
1130-2	SCT_0172	1130	2	p	i	s	a	p	2009/08/13	.	3.83	4.25	0.3803156114733			
1131-2	SCT_0145	1131	2	p	d	s	p	p	2009/08/16	.	.	.	.			
1132-2	SCT_0170	1132	2	p	d	s	a	p	2009/07/29	.	.	.	.			
1133-2	SCT_0483	1133	2	p	d	c	p	a	2009/08/13	.	4.89	4.4	0.316021568272943			
1134-2	SCT_0280	1134	2	p	d	s	p	p	2009/08/13	.	4.79	4.29	0.475666946728068			
1135-2	SCT_0178	1135	2	p	d	s	p	a	2009/08/13	.	5.29	4.4	0.377046422835994			
1136-2	SCT_0183	1136	2	p	d	s	p	a	2009/08/13	.	4.63	4.23	0.471852893317877			
1137-2	SCT_0180	1137	2	p	d	s	p	p	2009/08/13	.	5.11	4.25	0.403199931934444			
1138-2	SCT_0216	1138	2	p	d	c	a	p	2009/07/20	.	4.54	4.28	0.363424803513884			
1139-2	SCT_0266	1139	2	p	i	c	a	p	2009/08/13	.	5.06	4.34	0.460955597860189			
1140-2	SCT_0259	1140	2	p	d	c	p	p	2009/08/03	.	4.32	4.4	0.357976155785041			
1141-2	SCT_0268	1141	2	p	d	s	p	p	2009/08/03	.	5.27	4.39	0.398296148978485			
1142-2	SCT_0207	1142	2	p	d	c	p	p	2009/08/13	.	4.21	4.29	0.341085347825625			
1143-2	SCT_0261	1143	2	p	d	c	p	p	2009/07/29	.	4.78	4.43	0.325284269411977			
1144-2	SCT_0224	1144	2	p	d	s	p	p	2009/08/07	.	5.64	4.38	0.421180469439629			
2001-2	SCT_0153	2001	2	p	d	s	a	p	2009/08/19	.	.	.	.			
2002-2	SCT_0483	2002	2	p	d	c	p	a	2009/08/13	.	.	.	.			
2003-2	SCT_0151	2003	2	.	.	.	.	.	.	.	.	.	.			
2004-2	SCT_0277	2004	2	p	d	i	p	a	2009/08/13	.	4.08	4.35	0.310572920544099			
2005-2	SCT_0147	2005	2	p	d	s	a	p	2009/08/19	.	.	.	.			
2006-2	SCT_0254	2006	2	p	d	s	a	p	2009/08/13	.	3.85	4.39	0.324194539866209			
2007-2	SCT_0265	2007	2	p	i	s	a	p	2009/07/27	.	5.88	4.44	0.377591287608878			
2008-2	SCT_0217	2008	2	p	i	s	a	p	2009/08/13	.	4.93	4.36	0.345989130781584			
2009-2	SCT_0163	2009	2	p	d	i	p	a	2009/08/03	.	3.7	4.15	0.410283173981941			
2010-2	SCT_0220	2010	2	a	i	c	a	p	2009/08/13	.	6.33	4.4	0.397206419432716			
2011-2	SCT_0179	2011	2	p	d	s	a	p	2009/08/13	.	4.26	4.31	0.370508045561381			
2012-2	SCT_0184	2012	2	p	d	s	p	p	2009/08/13	.	4.55	4.27	0.404834526253098			
2013-2	SCT_0260	2013	2	p	d	s	a	p	2009/08/07	.	3.49	4.46	0.26099022621162			
2014-2	SCT_0157	2014	2	p	d	i	p	p	2009/08/03	.	3.07	4.31	0.272432386442192			
2015-2	SCT_0143	2015	2	p	d	i	a	a	2009/08/03	.	3.53	4.25	0.3454442660087			
2016-2	SCT_0205	2016	2	p	i	s	p	p	2009/08/13	.	4.26	4.28	0.406469120571751			
2017-2	SCT_0221	2017	2	p	i	c	a	p	2009/08/13	.	4.15	4.21	0.421725334212514			
2018-2	SCT_0271	2018	2	p	d	s	p	p	2009/08/07	.	4.18	4.28	0.390123177385219			
2019-2	SCT_0185	2019	2	p	d	s	p	p	2009/08/03	.	4.42	5.54	0.301855084177949			
2020-2	SCT_0167	2020	2	p	d	s	a	p	2009/07/28	.	6.16	4.36	0.452237761494039			
2021-2	SCT_0177	2021	2	p	d	s	a	p	2009/08/13	.	4.73	4.37	0.384674529656375			
2022-2	SCT_0230	2022	2	p	d	s	a	p	2009/08/13	.	5.97	4.49	0.379770746700416			
2023-2	SCT_0257	2023	2	p	d	s	p	p	2009/08/03	.	4.06	4.32	0.443519925127889			
2024-2	SCT_0208	2024	2	p	d	s	a	p	2009/08/13	.	6.73	4.32	0.48220532400268			
2025-2	SCT_0272	2025	2	p	d	s	p	a	2009/08/13	.	4.63	4.29	0.409193444436173			
2026-2	SCT_0145	2026	2	p	d	s	a	p	2009/08/19	.	.	.	.			
2027-2	SCT_0152	2027	2	.	.	.	.	.	.	.	.	.	.			
2028-2	SCT_0178	2028	2	p	d	s	p	a	2009/08/13	.	3.75	4.34	0.313297244408521			
2029-2	SCT_0215	2029	2	p	d	s	p	a	2009/08/13	.	3.95	4.23	0.42009073989386			
2030-2	SCT_0212	2030	2	p	d	i	p	a	2009/08/13	.	4.41	4.23	0.416821551256554			
2031-2	SCT_0258	2031	2	p	d	s	p	p	2009/08/13	.	4.53	4.26	0.399930743297138			
2032-2	SCT_0276	2032	2	p	d	s	p	p	2009/08/13	.	3.74	4.24	0.343809671690047			
2033-2	SCT_0279	2033	2	p	d	c	p	a	2009/08/13	.	5.37	4.31	0.461500462633074			
2034-2	SCT_0202	2034	2	p	d	s	a	p	2009/08/13	.	4.95	4.4	0.379770746700416			
2035-2	SCT_0245	2035	2	p	d	c	p	a	2009/08/13	.	3.91	4.28	0.306758867133908			
2036-2	SCT_0198	2036	2	p	d	s	p	p	2009/08/13	.	4.54	4.49	0.312752379635637			
2037-2	SCT_0480	2037	2	p	d	c	p	a	2009/08/13	.	4.26	4.31	0.364514533059653			
2038-2	SCT_0144	2038	2	p	d	s	a	P	2009/08/03	.	4	4.45	0.316566433045827			
2039-2	SCT_0146	2039	2	p	d	.	.	.	2009/09/09	.	.	.	.			
2040-2	SCT_0149	2040	2	p	d	s	a	p	2009/08/13	.	.	.	.			
2041-2	SCT_0206	2041	2	p	d	s	P	P	2009/08/19	.	5.23	4.28	0.446244248992311			
2042-2	SCT_0171	2042	2	p	d	s	p	p	2009/07/27	.	.	.	.			
2043-2	SCT_0172	2043	2	p	d	s	a	p	2009/08/19	.	3.39	4.31	0.365604262605422			
2044-2	SCT_0170	2044	2	p	d	s	P	p	2009/07/29	.	3.69	4.27	0.374322098971572			
2045-2	SCT_0216	2045	2	p	d	c	a	p	2009/08/03	.	5.32	4.13	0.464224786497495			
2046-2	SCT_0199	2046	2	p	d	s	a	p	2009/08/13	.	6.15	4.24	0.483839918321333			
2047-2	SCT_0269	2047	2	p	d	s	a	a	2009/07/29	.	3.77	4.48	0.266438873940464			
2048-2	SCT_0197	2048	2	p	d	i	p	p	2009/08/13	.	3.87	4.27	0.368873451242728			
2049-2	SCT_0218	2049	2	p	d	s	a	a	2009/07/27	.	3.88	4.28	0.372142639880035			
2050-2	SCT_0182	2050	2	p	d	s	P	a	2009/08/19	.	4.14	4.41	0.360155614876578			
2051-2	SCT_0284	2051	2	p	i	c	a	p	2009/08/13	.	6.3	4.29	0.529063694470737			
2052-2	SCT_0156	2052	2	p	d	s	p	p	2009/08/03	.	.	.	.			
2053-2	SCT_0200	2053	2	p	d	s	p	p	2009/08/13	.	5.54	4.38	0.399930743297138			
2054-2	SCT_0161	2054	2	p	d	i	P	a	2009/07/28	.	3.99	4.23	0.359065885330809			
2055-2	SCT_0201	2055	2	p	i	s	p	p	2009/08/13	.	4.38	4.38	0.359065885330809			
2056-2	SCT_0244	2056	2	p	i	s	a	a	2009/08/03	.	6.25	4.29	0.351982643283312			
2057-2	SCT_0159	2057	2	p	d	i	a	p	2009/08/03	.	3.42	4.23	0.325284269411977			
2058-2	SCT_0224	2058	2	p	d	s	p	p	2009/08/07	.	5.89	4.51	0.377591287608878			
2059-2	SCT_0173	2059	2	p	d	s	a	p	2009/08/07	.	4.17	4.33	0.375956693290225			
2060-2	SCT_0283	2060	2	p	d	s	a	p	2009/07/30	.	4.9	4.21	0.501275591053634			
2061-2	SCT_0214	2061	2	p	i	s	p	p	2009/08/13	.	4.55	4.28	0.364514533059653			
2062-2	SCT_0223	2062	2	p	i	i	p	p	2009/08/13	.	5.8	4.1	0.515442075148628			
2063-2	SCT_0191	2063	2	p	d	s	a	p	2009/08/13	.	4.72	4.24	0.448423708083848			
2064-2	SCT_0239	2064	2	p	d	s	a	p	2009/03/08	.	4.01	4.43	0.341085347825625			
2065-2	SCT_0175	2065	2	p	d	s	a	p	2009/08/13	.	4.38	4.33	0.359610750103694			
2066-2	SCT_0150	2066	2	p	d	.	.	.	2009/09/09	.	.	.	.			
2067-2	SCT_0168	2067	2	p	d	s	a	p	2009/07/28	.	6.09	4.46	0.444064789900773			
2068-2	SCT_0158	2068	2	p	d	i	p	p	2009/08/03	.	4.19	4.2	0.404289661480213			
2069-2	SCT_0211	2069	2	p	d	s	p	p	2009/08/13	.	4.72	4.29	0.423904793304051			
2070-2	SCT_0231	2070	2	p	d	s	a	p	2009/08/13	.	6.66	4.35	0.479481000138258			
2071-2	SCT_0240	2071	2	p	d	s	p	p	2009/08/13	.	3.35	4.31	0.320380486456018			
2072-2	SCT_0190	2072	2	p	d	s	p	p	2009/08/13	.	3.68	4.29	0.34925831941889			
2073-2	SCT_0180	2073	2	p	d	s	p	p	2009/08/13	.	3.86	4.21	0.378136152381763			
2074-2	SCT_0275	2074	2	p	i	s	p	p	2009/08/13	.	6.31	4.37	0.427173981941357			
2075-2	SCT_0266	2075	2	p	i	c	p	p	2009/08/13	.	5.83	4.36	0.435346953534623			
2076-2	SCT_0280	2076	2	p	d	s	p	p	2009/08/13	.	4.37	4.26	0.441340466036351			
2077-2	SCT_0238	2077	2	p	d	s	p	p	2009/08/07	.	4.91	4.37	0.423359928531167			
2078-2	SCT_0249	2078	2	p	d	s	a	p	2009/08/19	.	4.49	4.36	0.34054048305274			
2079-2	SCT_0248	2079	2	p	d	s	p	a	2009/08/13	.	4.43	4.8	0.26589400916758			
2080-2	SCT_0255	2080	2	p	i	c	p	p	2009/08/13	.	5.3	4.48	0.304579408042371			
2081-2	SCT_0155	2081	2	.	.	.	.	.	.	.	.	.	.			
2082-2	SCT_0186	2082	2	p	d	s	p	p	2009/08/13	.	5.36	4.5	0.339450753506972			
2083-2	SCT_0195	2083	2	p	d	s	a	p	2009/08/13	.	3.09	4.38	0.261535090984504			
2084-2	SCT_0196	2084	2	p	d	s	p	p	2009/08/13	.	3.59	4.26	0.338905888734087			
2085-2	SCT_0207	2085	2	p	d	s	p	p	2009/08/13	.	3.91	4.24	0.341630212598509			
2086-2	SCT_0169	2086	2	p	d	s	a	p	2009/07/29	.	4.92	4.31	0.405379391025982			
2087-2	SCT_0219	2087	2	p	i	c	a	p	2009/08/13	.	5.36	4.37	0.408648579663288			
2088-2	SCT_0252	2088	2	p	d	s	a	p	2009/08/07	.	4.26	4.57	0.279515628489689			
2089-2	SCT_0250	2089	2	p	d	s	a	a	2009/07/30	.	.	.	.			
2090-2	SCT_0203	2090	2	p	d	s	a	p	2009/08/03	.	3.91	4.32	0.328008593276399			
2091-2	SCT_0235	2091	2	p	i	s	a	a	2009/07/27	.	5.3	4.5	0.288233464855839			
2092-2	SCT_0268	2092	2	p	d	s	a	p	2009/08/07	.	4.79	4.39	0.370508045561381			
2093-2	SCT_0204	2093	2	p	d	s	p	a	2009/08/13	.	3.94	4.27	0.374866963744456			
2094-2	SCT_0162	2094	2	p	d	i	p	a	2009/08/03	.	3.01	4.3	0.295861571676221			
2095-2	SCT_0246	2095	2	p	d	s	a	p	2009/08/19	.	5.21	4.32	0.45986586831442			
2096-2	SCT_0482	2096	2	p	d	s	p	p	2009/08/07	.	5.4	4.25	0.496916672870558			
2097-2	SCT_0193	2097	2	p	d	s	p	p	2009/08/13	.	5.14	4.12	0.454962085358461			
2098-2	SCT_0251	2098	2	p	d	s	a	p	2009/07/30	.	3.72	4.31	0.328008593276399			
2099-2	SCT_0243	2099	2	p	i	s	p	p	2009/08/13	.	4.66	4.41	0.265349144394695			
2100-2	SCT_0192	2100	2	p	d	s	p	p	2009/08/13	.	3.39	4.24	0.338361023961203			
2101-2	SCT_0273	2101	2	p	i	s	a	p	2009/08/13	.	4.5	4.53	0.287143735310071			
2102-2	SCT_0256	2102	2	p	i	s	p	p	2009/08/13	.	5.09	4.33	0.378136152381763			
2103-2	SCT_0270	2103	2	p	i	c	a	p	2009/08/07	.	4.13	4.31	0.378136152381763			
2104-2	SCT_0209	2104	2	p	d	s	p	p	2009/08/13	.	4.08	4.27	0.318745892137365			
2105-2	SCT_0194	2105	2	p	i	s	p	p	2009/08/13	.	4.43	4.26	0.385764259202144			
2106-2	SCT_0189	2106	2	p	d	s	a	p	2009/08/13	.	4.32	4.29	0.360155614876578			
2107-2	SCT_0278	2107	2	p	d	s	p	p	2009/08/13	.	3.85	4.29	0.361790209195231			
2108-2	SCT_0176	2108	2	p	d	s	a	p	2009/08/07	.	5.01	4.34	0.371052910334266			
2109-2	SCT_0247	2109	2	p	d	c	p	a	2009/08/13	.	4.53	4.35	0.344899401235815			
2110-2	SCT_0165	2110	2	p	d	c	a	a	2009/08/03	.	4.08	4.52	0.250092930753932			
2111-2	SCT_0154	2111	2	.	.	.	.	.	.	.	.	.	.			
2112-2	SCT_0160	2112	2	p	d	i	p	p	2009/07/30	.	3.12	4.21	0.322559945547556			
2113-2	SCT_0233	2113	2	p	d	c	p	a	2009/08/13	.	4.97	4.33	0.386309123975028			
2114-2	SCT_0148	2114	2	p	d	s	a	p	2009/07/28	.	5.26	4.47	0.455506950131345			
2115-2	SCT_0261	2115	2	p	d	c	a	p	2009/07/30	.	5.04	4.47	0.312752379635637			
2116-2	SCT_0282	2116	2	p	i	.	a	.	2009/09/09	.	6.69	4.37	0.418456145575207			
2117-2	SCT_0267	2117	2	p	i	s	a	p	2009/08/07	.	4.77	4.54	0.315476703500059			
2118-2	SCT_0229	2118	2	p	d	s	a	p	2009/07/30	.	3.4	4.35	0.281695087581227			
2119-2	SCT_0210	2119	2	p	d	c	a	p	2009/08/13	.	5.28	4.38	0.382495070564838			
2120-2	SCT_0479	2120	2	.	.	.	.	.	.	.	.	.	.			
