 phenotype_rows 	        min         	        max         	 project_id 	              name              	 name 
            480 	                0.0 	                3.0 	        406 	 10uyt20yrt4MK                  	 IITA
            480 	                0.0 	                3.0 	        586 	 13uyt15Yrt8AZA                 	 IITA
            480 	                0.0 	                3.0 	        642 	 05uyt20pdMK                    	 IITA
            487 	 0.0833333333333333 	                  3 	        362 	 08uyt30sgMK                    	 IITA
            504 	                0.0 	                3.0 	        407 	 10uyt21yrt6MK                  	 IITA
            520 	                0.0 	                3.0 	        324 	 09uyt30sgIB                    	 IITA
            532 	                0.0 	                3.0 	        509 	 06uyt19ciatmk                  	 IITA
            540 	                0.0 	                3.0 	        582 	 13Uyt15yrt8AIK                 	 IITA
            540 	                0.0 	                3.0 	        590 	 13uyt30yrtIK                   	 IITA
            546 	                0.0 	                3.0 	        513 	 06uyt26pdmk                    	 IITA
            612 	                0.0 	                3.0 	        574 	 13Ayt17HtcIK                   	 IITA
            672 	                0.0 	                3.0 	        299 	 11ayt38yrt11UB                 	 IITA
            672 	                0.0 	                3.0 	        643 	 05uyt28yrtMK                   	 IITA
            700 	                0.0 	                3.0 	        244 	 12uyt25HighDmMK                	 IITA
            727 	                0.0 	                3.0 	        512 	 06uyt26Ncmdmk                  	 IITA
            728 	                0.0 	                3.0 	        577 	 13Ayt23PdIK                    	 IITA
            756 	                0.0 	                3.0 	        273 	 12ayt21whrtZa                  	 IITA
            778 	                0.0 	                3.0 	        521 	 06uyt28yrtMK                   	 IITA
            784 	                0.0 	                3.0 	        550 	 13uyt28yrtMK                   	 IITA
            800 	                0.0 	                3.0 	        245 	 12uyt25sgMK                    	 IITA
            840 	                0.0 	                3.0 	        251 	 12ayt30whtrtUB                 	 IITA
            840 	                0.0 	                3.0 	        571 	 13uyt30yrtUB                   	 IITA
            895 	                0.0 	                3.0 	        254 	 12ayt32mixedUB                 	 IITA
           1025 	                0.0 	                3.0 	        343 	 09ayt49whtrtIB                 	 IITA
           1025 	                0.0 	                3.0 	        347 	 10ayt49whtrtIB                 	 IITA
           1184 	                0.0 	                3.0 	        241 	 12ayt37mixedMK                 	 IITA
           1220 	                0.0 	                3.0 	       1715 	 14mpop11IB                     	 IITA
           1249 	                0.0 	                3.0 	        219 	 12ayt35ppdIB                   	 IITA
           1296 	                0.0 	                3.0 	        213 	 12ayt27yrtIB                   	 IITA
           1406 	                0.0 	                3.0 	        276 	 11ayt37mixyrt11IB format       	 IITA
           1680 	                0.0 	                3.0 	        589 	 13uyt30whrtIK                  	 IITA
           1728 	                0.0 	                3.0 	        579 	 13Pyt36YrtIK                   	 IITA
           1792 	                0.0 	                3.0 	        217 	 12ayt32mixedIB                 	 IITA
           2682 	                0.0 	                3.0 	        596 	 13uyt30YrtZA                   	 IITA
           2835 	                0.0 	                3.0 	        264 	 12ayt33yrt10WR                 	 IITA
           3120 	                0.0 	                3.0 	        580 	 13Pyt65Ik                      	 IITA
           6604 	                0.0 	                3.0 	       1717 	 14pytdiallelIK                 	 IITA
           2990 	                0.0 	                3.3 	        553 	 13NextTGenungenoclonalevalIB   	 IITA
            102 	 0.0740740740740741 	                  4 	        378 	 10uyt14yrt8IB                  	 IITA
            190 	                0.1 	                  4 	        285 	 11ayt17HighProteinMK           	 IITA
            191 	                0.2 	                  4 	        284 	 11ayt14yrt8MK                  	 IITA
            204 	               0.05 	                  4 	        364 	 09uyt12yrtpd2ZA                	 IITA
            213 	               0.05 	                  4 	        363 	 09uyt9yrtpd1ZA                 	 IITA
            214 	                0.1 	                  4 	        287 	 11ayt25HighDmMK                	 IITA
            217 	                0.0 	                4.0 	        320 	 09uyt16yrt5IB                  	 IITA
            221 	 0.0416666666666667 	                  4 	        450 	 09NCRP16IB                     	 IITA
            237 	 0.0454545454545455 	                  4 	        427 	 10uyt22ictIB                   	 IITA
            249 	 0.0416666666666667 	                  4 	        368 	 09uyt30sgZA                    	 IITA
            252 	 0.0357142857142857 	                  4 	        399 	 10uyt14yrt7IK                  	 IITA
            273 	                0.0 	                4.0 	        319 	 09uyt15yrtpd1IB                	 IITA
            274 	 0.0416666666666667 	                  4 	        400 	 10uyt16yrt5IK                  	 IITA
            293 	 0.0416666666666667 	                  4 	        397 	 10uyt16yrtpd2IK                	 IITA
            297 	                0.1 	                  4 	        292 	 11ayt14yrt8Ik                  	 IITA
            308 	                0.0 	                4.0 	        301 	 11ayt11HighProteinWR           	 IITA
            311 	                0.0 	                4.0 	        403 	 10uyt14yrtpd1MK                	 IITA
            312 	 0.0416666666666667 	                  4 	        365 	 09uyt16yrt5ZA                  	 IITA
            315 	 0.0416666666666667 	                  4 	        376 	 10uyt16yrt5IB                  	 IITA
            334 	 0.0138888888888889 	                  4 	        360 	 08uyt20yrt3MK                  	 IITA
            336 	                0.0 	                4.0 	        402 	 10uyt14yrt7MK                  	 IITA
            336 	                0.0 	                4.0 	        608 	 13pyt24IB                      	 IITA
            337 	                0.0 	                4.0 	        661 	 13pyt22UB                      	 IITA
            339 	                0.0 	                  4 	        318 	 09uyt14yrt7IB                  	 IITA
            342 	 0.0357142857142857 	                  4 	        294 	 11uyt14yrt7Ik                  	 IITA
            358 	 0.0416666666666667 	                  4 	        396 	 10uyt20yrt4IK                  	 IITA
            360 	                  1 	                  4 	        480 	 07uyt23ICT2MK                  	 IITA
            365 	                  1 	                  4 	        479 	 07uyt23ICT1MK                  	 IITA
            384 	                0.0 	                4.0 	        404 	 10uyt16yrt5MK                  	 IITA
            392 	                0.0 	                4.0 	        298 	 11uyt14yrt7UB                  	 IITA
            392 	                0.0 	                4.0 	        302 	 11ayt14yrt8WR                  	 IITA
            395 	 0.0454545454545455 	                  4 	        366 	 09uyt18yrt6ZA                  	 IITA
            400 	                0.0 	                4.0 	        561 	 13pyt25mixedUB                 	 IITA
            402 	 0.0416666666666667 	                  4 	        664 	 05uyt20yrt2IB                  	 IITA
            409 	 0.0416666666666667 	                  4 	        374 	 10uyt20yrt4IB                  	 IITA
            420 	                0.0 	                4.0 	       1727 	 14.GS.C1.PYT.35.IB             	 IITA
            429 	               0.05 	                  4 	        286 	 11ayt27yrt9MK                  	 IITA
            447 	                0.0 	                4.0 	        546 	 11ayt14yrt8UB                  	 IITA
            448 	                0.0 	                4.0 	        303 	 11uyt14yrt7WR                  	 IITA
            456 	                0.0 	                4.0 	        640 	 05uyt19interMK                 	 IITA
            467 	 0.0416666666666667 	                  4 	        361 	 08uyt26yrt2MK                  	 IITA
            473 	                0.1 	                  4 	        257 	 12ayt39yrt10UB                 	 IITA
            477 	                0.0 	                4.0 	        243 	 12uyt15yrt8AMK                 	 IITA
            480 	                0.0 	                4.0 	        547 	 13uyt15yrt8AMK                 	 IITA
            485 	  0.208333333333333 	                  4 	        488 	 07uyt30sgMK                    	 IITA
            499 	                0.0 	                4.0 	       1594 	 05uyt21MPRmk                   	 IITA
            499 	 0.0416666666666667 	                  4 	        499 	 07uyt30mprMK                   	 IITA
            506 	 0.0416666666666667 	                  4 	        650 	 05uyt25NcmdIB                  	 IITA
            528 	                0.0 	                4.0 	        425 	 10uyt22ictMK                   	 IITA
            532 	                0.0 	                4.0 	        510 	 06uyt19interspMK               	 IITA
            560 	                0.0 	                4.0 	        538 	 09uyt20mprIB                   	 IITA
            588 	                0.0 	                4.0 	        421 	 09uyt22ICTMK                   	 IITA
            603 	 0.0526315789473684 	                  4 	        601 	 07uyt36colchiMK                	 IITA
            633 	                0.0 	                4.0 	        252 	 12ayt20yrtUB                   	 IITA
            640 	                0.0 	                4.0 	        607 	 13ayt20pdIB                    	 IITA
            663 	                0.0 	                4.0 	        549 	 13ayt24MK                      	 IITA
            700 	                0.0 	                4.0 	        304 	 11ayt27yrt9WR                  	 IITA
            700 	                0.0 	                4.0 	        305 	 11ayt25HighDmWR                	 IITA
            720 	                0.0 	                4.0 	        408 	 10uyt30sgMK                    	 IITA
            726 	                0.0 	                4.0 	        517 	 06uyt26EsarcMK                 	 IITA
            752 	                0.0 	                4.0 	       1672 	 14ayt27highDMIB                	 IITA
            756 	                0.0 	                4.0 	        297 	 11ayt27yrt9UB                  	 IITA
            768 	                0.0 	                4.0 	        515 	 06uyt32oldSGmk                 	 IITA
            774 	                0.0 	                  4 	        321 	 09uyt16yrtpd2IB                	 IITA
            789 	                0.0 	                4.0 	        548 	 13uyt25sgMK                    	 IITA
            800 	                0.0 	                4.0 	        557 	 13ayt25pdUB                    	 IITA
            823 	                0.0 	                4.0 	        200 	 11uyt25sgIB                    	 IITA
            823 	                0.0 	                4.0 	        283 	 11uyt26NewsgIB                 	 IITA
            840 	                0.0 	                4.0 	        253 	 12ayt30yrt11UB                 	 IITA
            840 	                0.0 	                4.0 	        330 	 09uyt30sgMK                    	 IITA
            858 	 0.0416666666666667 	                  4 	        626 	 05uyt20interspecON             	 IITA
            864 	                0.0 	                4.0 	        435 	 11ayt33ictUB                   	 IITA
            882 	                0.0 	                  4 	        277 	 11ayt38yrt11IB                 	 IITA
            918 	                0.0 	                4.0 	        468 	 06uyt26yrtIB                   	 IITA
            930 	                0.0 	                4.0 	        238 	 12ayt30whrtMK                  	 IITA
            934 	                0.0 	                4.0 	       1596 	 05uyt13Msterile                	 IITA
            960 	                0.0 	                4.0 	        566 	 13uyt30whtrtUB                 	 IITA
           1029 	                0.0 	                4.0 	        256 	 12ayt37mixedUB                 	 IITA
           1056 	                0.0 	                4.0 	        430 	 11ayt33ictWR                   	 IITA
           1056 	                0.0 	                4.0 	        560 	 13ayt33pdUB                    	 IITA
           1080 	                0.0 	                4.0 	        229 	 12ayt30whtrtIK                 	 IITA
           1085 	                0.0 	                4.0 	        240 	 12ayt34yrt10MK                 	 IITA
           1110 	               0.00 	                  4 	        656 	 05uyt20ciatIB                  	 IITA
           1116 	                0.0 	                4.0 	        271 	 12ayt31yrt11Za                 	 IITA
           1152 	               -0.6 	                4.0 	        278 	 11ayt32whtrtIB                 	 IITA
           1229 	                0.0 	                4.0 	        242 	 12ayt39yrt12MK                 	 IITA
           1248 	                0.0 	                4.0 	        645 	 05uyt26esarcMK                 	 IITA
           1251 	                0.0 	                4.0 	        270 	 12ayt35yrt10Za                 	 IITA
           1280 	                0.0 	                4.0 	        615 	 13uyt20mixedIB                 	 IITA
           1284 	                0.0 	                4.0 	       1595 	 05uyt36colchiMK                	 IITA
           1332 	                0.0 	                4.0 	        221 	 12ayt37mixedIB                 	 IITA
           1371 	 0.0476190476190476 	                  4 	        486 	 07uyt26yrt2MK                  	 IITA
           1413 	                0.0 	                4.0 	        458 	 12ClonalevaZA                  	 IITA
           1423 	                0.0 	                4.0 	        344 	 09ayt51yrtIB                   	 IITA
           1463 	                0.0 	                  4 	        279 	 11ayt39yrt12IB                 	 IITA
           1536 	                0.0 	                4.0 	        578 	 13Ayt24YrtIK                   	 IITA
           1536 	                0.0 	                4.0 	        644 	 05uyt32sgMK                    	 IITA
           1672 	                0.0 	                4.0 	        554 	 13uyt30whtrtMK                 	 IITA
           1728 	                0.0 	                4.0 	        622 	 13ayt24yrtIB                   	 IITA
           1872 	                0.0 	                4.0 	        641 	 05uyt26NewCmdMK                	 IITA
           1910 	                0.0 	                4.0 	        275 	 11ayt36yrt10IB                 	 IITA
           2038 	                0.0 	                4.0 	        239 	 12ayt32yrt11MK                 	 IITA
           2186 	                0.0 	                4.0 	        220 	 12ayt35yrt10IB                 	 IITA
           2660 	                0.0 	                4.0 	        218 	 12ayt33mixedpdIB               	 IITA
           2983 	               0.05 	                  4 	        442 	 13geneticgainUB                	 IITA
           3320 	                0.0 	                4.0 	        599 	 13NEXTgenC0IK                  	 IITA
           3468 	 0.0434782608695652 	                  4 	        649 	 05uyt25yrt1IB                  	 IITA
          18387 	                0.0 	                4.0 	        459 	 12ClonalevaIUB                 	 IITA
            174 	 0.0434782608695652 	                  5 	        474 	 07uyt23ICT2IB                  	 IITA
            185 	 0.0416666666666667 	                  5 	        359 	 08uyt16PD2Ib                   	 IITA
            187 	 0.0416666666666667 	                  5 	        449 	 08NCRPIB                       	 IITA
            199 	 0.0416666666666667 	                  5 	        473 	 07uyt20yrt3Ib                  	 IITA
            200 	 0.0769230769230769 	                  5 	        379 	 10uyt14yrt7IB                  	 IITA
            201 	 0.0384615384615385 	                  5 	        540 	 10uyt19EMSubi                  	 IITA
            213 	 0.0588235294117647 	                  5 	        390 	 10uyt14yrt8Ubi                 	 IITA
            214 	 0.0555555555555556 	                  5 	        447 	 06uyt13NCRPIB                  	 IITA
            250 	 0.0476190476190476 	                  5 	        386 	 10uyt14yrt7ZA                  	 IITA
            255 	 0.0357142857142857 	                  5 	        372 	 10uyt25HighDryMatterIB         	 IITA
            272 	 0.0416666666666667 	                  5 	        354 	 08uyt21yrt5ib                  	 IITA
            275 	 0.0416666666666667 	                  5 	        384 	 10uyt16yrt5ZA                  	 IITA
            277 	 0.0416666666666667 	                  5 	        355 	 08uyt21yrt6Ib                  	 IITA
            280 	                0.0 	                5.0 	        623 	 13pyt20yrtIB                   	 IITA
            281 	                0.0 	                5.0 	        332 	 09uyt12yrtpd1Ubi               	 IITA
            283 	 0.0555555555555556 	                  5 	        387 	 10uyt13yrtpd1ZA                	 IITA
            287 	               0.05 	                  5 	        385 	 10uyt15yrtpd2ZA                	 IITA
            288 	                0.0 	                5.0 	        325 	 09uyt9yrtpd1MK                 	 IITA
            293 	 0.0416666666666667 	                  5 	        398 	 10uyt14yrtpd1IK                	 IITA
            293 	 0.0416666666666667 	                  5 	        423 	 10uyt22ictZA                   	 IITA
            294 	 0.0416666666666667 	                  5 	        382 	 10uyt20yrt4ZA                  	 IITA
            297 	 0.0357142857142857 	                  5 	        370 	 10uyt27yrt9Ib                  	 IITA
            298 	 0.0416666666666667 	                  5 	        307 	 09uyt16yrt5IK                  	 IITA
            307 	 0.0416666666666667 	                  5 	        388 	 10uyt11yrtpd1Ubi               	 IITA
            309 	 0.0357142857142857 	                  5 	        389 	 10uyt14yrt7Ubi                 	 IITA
            312 	                0.0 	                5.0 	        585 	 13uyt13ZA                      	 IITA
            320 	                0.0 	                5.0 	        536 	 06uyt20interspecUB             	 IITA
            327 	 0.0416666666666667 	                  5 	        371 	 10uyt26newsgIB                 	 IITA
            329 	 0.0416666666666667 	                  5 	        308 	 09uyt16yrtpd2IK                	 IITA
            333 	 0.0416666666666667 	                  5 	        306 	 09uyt14yrtpd1IK                	 IITA
            370 	 0.0416666666666667 	                  5 	        630 	 05uyt20pdIk                    	 IITA
            384 	                0.1 	                  5 	        290 	 11ayt27yrt9Za                  	 IITA
            387 	 0.0377358490566038 	                  5 	        383 	 10uyt18yrt6ZA                  	 IITA
            404 	                0.1 	                  5 	        429 	 11ayt33ictZa                   	 IITA
            405 	                0.0 	                  5 	        367 	 09uyt20yrt4ZA                  	 IITA
            415 	 0.0416666666666667 	                  5 	        381 	 10uyt30sgZA                    	 IITA
            416 	 0.0416666666666667 	                  5 	        309 	 09uyt20yrt4IK                  	 IITA
            418 	                0.0 	                5.0 	        594 	 13uyt15yrt8AIL                 	 IITA
            426 	 0.0416666666666667 	                  5 	        356 	 08uyt20yrt4ib                  	 IITA
            427 	                0.0 	                5.0 	        333 	 09uyt14yrt7Ubi                 	 IITA
            427 	  0.166666666666667 	                  5 	        487 	 07uyt28yrt1MK                  	 IITA
            427 	 0.0416666666666667 	                  5 	        542 	 10uyt20mprubi                  	 IITA
            430 	 0.0416666666666667 	                  5 	        475 	 07uyt23ICT1IB                  	 IITA
            430 	 0.0526315789473684 	                  5 	        523 	 06uyt20ciatUbi                 	 IITA
            432 	                0.0 	                5.0 	        602 	 13Ayt16HighFlowerIB            	 IITA
            437 	                0.0 	                5.0 	        288 	 11uyt14yrt7MK                  	 IITA
            438 	                0.0 	                  5 	        420 	 09uyt22ICTZA                   	 IITA
            448 	                0.0 	                5.0 	        401 	 10uyt14yrt7WR                  	 IITA
            453 	 0.0416666666666667 	                  5 	        353 	 08uyt20yrt3Ib                  	 IITA
            453 	 0.0416666666666667 	                  5 	        418 	 08uyt23ICT2ib                  	 IITA
            457 	 0.0416666666666667 	                  5 	        395 	 10uyt21yrt6IK                  	 IITA
            465 	              0.125 	                  5 	        431 	 11ayt33ictMK                   	 IITA
            465 	 0.0454545454545455 	                  5 	        373 	 10uyt21yrt6IB                  	 IITA
            474 	 0.0416666666666667 	                  5 	        471 	 07uyt28yrtIb                   	 IITA
            478 	 0.0416666666666667 	                  5 	        419 	 08uyt23ICT1ib                  	 IITA
            480 	                0.0 	                5.0 	        327 	 09uyt16yrtpd2MK                	 IITA
            480 	                0.0 	                5.0 	        336 	 09uyt15yrtpd2Ubi               	 IITA
            480 	                0.0 	                5.0 	        338 	 08ayt20yrtubi                  	 IITA
            480 	                0.0 	                5.0 	        631 	 05uyt20ciatIk                  	 IITA
            490 	                0.1 	                  5 	        216 	 12ayt30yrt11IB                 	 IITA
            492 	                0.0 	                5.0 	        414 	 08uyt23ICT2IK                  	 IITA
            495 	 0.0416666666666667 	                  5 	        310 	 09uyt21yrt6IK                  	 IITA
            504 	                0.0 	                5.0 	        182 	 11ayt14yrt8IB                  	 IITA
            504 	                0.0 	                5.0 	        296 	 11ayt14yrt8IL                  	 IITA
            504 	                0.0 	                5.0 	        609 	 13pyt28highflowerIB            	 IITA
            512 	                0.0 	                5.0 	        334 	 09uyt16yrt5Ubi                 	 IITA
            520 	                0.0 	                5.0 	        342 	 09ayt20yrtZA                   	 IITA
            526 	                0.0 	                5.0 	        345 	 10ayt19yrtIB                   	 IITA
            533 	                0.0 	                5.0 	        335 	 09uyt21yrt6Ubi                 	 IITA
            534 	 0.0416666666666667 	                  5 	        358 	 08uyt30sgIb                    	 IITA
            536 	                0.0 	                5.0 	        227 	 12uyt15yrt8AIB                 	 IITA
            540 	                0.0 	                5.0 	        233 	 12uyt15yrt8AIK                 	 IITA
            540 	                0.0 	                5.0 	        614 	 13uyt15yrt8AIB                 	 IITA
            543 	 0.0416666666666667 	                  5 	        636 	 05uyt28yrtUB                   	 IITA
            565 	 0.0416666666666667 	                  5 	        428 	 10uyt22ictUbi                  	 IITA
            571 	                0.1 	                  5 	        434 	 11ayt33ictIk                   	 IITA
            572 	                0.0 	                5.0 	        520 	 06uyt18SlineIB                 	 IITA
            576 	                0.0 	                5.0 	        606 	 13Ayt16ICTIB                   	 IITA
            583 	 0.0416666666666667 	                  5 	        357 	 08uyt26yrt2ib                  	 IITA
            592 	 0.0416666666666667 	                  5 	        647 	 05uyt28yrtIB                   	 IITA
            608 	                0.0 	                5.0 	        328 	 09uyt19yrt6MK                  	 IITA
            612 	                0.0 	                5.0 	        426 	 10uyt22ICTShgaIlorin           	 IITA
            616 	                0.0 	                5.0 	        569 	 13ayt30YrtZA                   	 IITA
            617 	 0.0416666666666667 	                  5 	        369 	 10uyt30sgIB                    	 IITA
            619 	                0.0 	                5.0 	        529 	 06uyt26NewPDubi                	 IITA
            640 	                0.0 	                5.0 	        314 	 08uyt20yrt3ubi                 	 IITA
            640 	                0.0 	                5.0 	        329 	 09uyt20yrt4MK                  	 IITA
            640 	                0.0 	                5.0 	        337 	 09uyt20yrt4Ubi                 	 IITA
            640 	                0.0 	                5.0 	        503 	 06uyt20castor2IB               	 IITA
            640 	                0.0 	                5.0 	        522 	 06uyt20castor2UB               	 IITA
            666 	                0.0 	                5.0 	        485 	 06uyt28yrtUbi                  	 IITA
            670 	                0.0 	                5.0 	       1697 	 14ayt12highTCUB                	 IITA
            672 	                0.0 	                5.0 	        530 	 06uyt28mpr8ubi                 	 IITA
            703 	                0.1 	                  5 	        293 	 11ayt27yrt9Ik                  	 IITA
            704 	                0.0 	                5.0 	        424 	 10uyt22ictWR                   	 IITA
            719 	                0.0 	                5.0 	        612 	 13ayt20pdwhtrtIB               	 IITA
            730 	                  1 	                  5 	       1645 	 2014.GS.C2.CE.MK               	 IITA
            734 	                0.0 	                5.0 	        412 	 08uyt23ICT2ubi                 	 IITA
            736 	                0.0 	                5.0 	        413 	 08uyt23ICT1ubi                 	 IITA
            736 	                0.0 	                5.0 	        417 	 08uyt23ICT1IK                  	 IITA
            746 	 0.0434782608695652 	                  5 	        654 	 05uyt20interIB                 	 IITA
            756 	                0.0 	                5.0 	        620 	 13ayt21highTCIB                	 IITA
            758 	                0.0 	                5.0 	        274 	 11ayt25HighDrymatterIB         	 IITA
            765 	                0.0 	                5.0 	        588 	 13uyt32PdZA                    	 IITA
            768 	                0.0 	                5.0 	        531 	 06uyt32sgubi                   	 IITA
            768 	 0.0416666666666667 	                  5 	        392 	 10uyt16yrt5Ubi                 	 IITA
            786 	 0.0416666666666667 	                  5 	        391 	 10uyt15yrtpd2Ubi               	 IITA
            799 	                0.0 	                5.0 	        507 	 06uyt25castor1IB               	 IITA
            816 	                0.0 	                5.0 	        346 	 10ayt30yrtIB                   	 IITA
            824 	 0.0416666666666667 	                  5 	        657 	 05uyt18s-lineIB                	 IITA
            832 	                0.0 	                5.0 	        250 	 12ayt27yrtUB                   	 IITA
            863 	                0.0 	                5.0 	        621 	 13ayt24ppdIB                   	 IITA
            864 	                0.0 	                5.0 	        348 	 10ayt54yrtIB                   	 IITA
            880 	                0.0 	                5.0 	        352 	 08uyt15PD1yrtIb                	 IITA
            886 	 0.0416666666666667 	                  5 	        628 	 05uyt28yrtIk                   	 IITA
            894 	                0.0 	                5.0 	        502 	 06uyt28mpr7IB                  	 IITA
            924 	                0.0 	                5.0 	        258 	 12ayt33yrt10UB                 	 IITA
            924 	                0.0 	                5.0 	        532 	 06uyt33EsarcYrtubi             	 IITA
            950 	                0.0 	                5.0 	        539 	 09uyt20MPRUbi                  	 IITA
            960 	                0.0 	                5.0 	        237 	 12uyt15yrt8AIL                 	 IITA
            962 	                0.0 	                5.0 	        196 	 11ayt27yrt9IB                  	 IITA
            969 	                0.0 	                5.0 	        295 	 11ayt27yrt9IL                  	 IITA
            981 	                0.0 	                5.0 	       1720 	 14.GS.RESCUED.C2.CE.IB         	 IITA
            994 	                0.0 	                5.0 	        501 	 06uyt28yrtIB                   	 IITA
            998 	 0.0416666666666667 	                  5 	        393 	 10uyt20yrt4Ubi                 	 IITA
            999 	                0.0 	                5.0 	        282 	 11NCRP14IB                     	 IITA
           1006 	 0.0434782608695652 	                  5 	        653 	 05uyt20pd1IB                   	 IITA
           1014 	 0.0416666666666667 	                  5 	        472 	 07uyt26yrt2Ib                  	 IITA
           1024 	                0.0 	                5.0 	        559 	 13ayt32mixedUB                 	 IITA
           1047 	                0.0 	                5.0 	        255 	 12ayt33pdUB                    	 IITA
           1050 	                0.0 	                5.0 	        323 	 09uyt21yrt6IB                  	 IITA
           1058 	 0.0416666666666667 	                  5 	        655 	 05uyt20EsarcIB                 	 IITA
           1080 	                0.0 	                5.0 	        228 	 12uyt30whtrtIB                 	 IITA
           1080 	                0.0 	                5.0 	        230 	 12ayt30yrt11IK                 	 IITA
           1114 	 0.0416666666666667 	                  5 	        652 	 05uyt20pd2IB                   	 IITA
           1140 	 0.0434782608695652 	                  5 	        394 	 10uyt21yrt6Ubi                 	 IITA
           1148 	 0.0416666666666667 	                  5 	        627 	 05uyt28yrtON                   	 IITA
           1168 	 0.0416666666666667 	                  5 	        646 	 05uyt32sgIB                    	 IITA
           1176 	                0.0 	                5.0 	        432 	 11ayt33ictIL                   	 IITA
           1183 	                0.0 	                5.0 	        231 	 12pyt68highTCIK                	 IITA
           1188 	                0.0 	                5.0 	        235 	 12uyt33IK                      	 IITA
           1188 	                0.0 	                5.0 	        433 	 11ayt33ictIB                   	 IITA
           1200 	                0.0 	                5.0 	        504 	 06uyt20ciatIB                  	 IITA
           1244 	                0.0 	                5.0 	        505 	 06uyt20interspecIB             	 IITA
           1248 	                0.0 	                5.0 	        222 	 12ayt39yrt12IB                 	 IITA
           1260 	 0.0416666666666667 	                  5 	        629 	 05uyt25NewCmdIk                	 IITA
           1280 	                0.0 	                5.0 	        619 	 13ayt20pdyrtIB                 	 IITA
           1296 	 0.0526315789473684 	                  5 	        651 	 05uyt25castor1IB               	 IITA
