	Tomato Data Entry			Characterization Descriptors									Quality Measures																												
389-2	SCT_0287	389	2	.	.	.	.	.	.	.	.	.	7.1	.	0.55744																										
390-2	SCT_0290	390	2	.	.	.	.	.	.	.	.	.	6.5	.	0.38208																										
391-2	SCT_0289	391	2	.	.	.	.	.	.	.	.	.	5.9	.	0.37888																										
392-2	SCT_0292	392	2	.	.	.	.	.	.	.	.	.	6.4	.	0.36992																										
393-2	SCT_0293	393	2	.	.	.	.	.	.	.	.	.	4.9	.	0.35328																										
394-2	SCT_0294	394	2	.	.	.	.	.	.	.	.	.	5.3	.	0.41792																										
395-2	SCT_0295	395	2	.	.	.	.	.	.	.	.	.	5.9	.	0.4384																										
396-2	SCT_0296	396	2	.	.	.	.	.	.	.	.	.	6.1	.	0.41536																										
397-2	SCT_0297	397	2	.	.	.	.	.	.	.	.	.	5.5	.	0.52672																										
398-2	SCT_0298	398	2	.	.	.	.	.	.	.	.	.	5.5	.	0.34112																										
399-2	SCT_0299	399	2	.	.	.	.	.	.	.	.	.	5.8	.	0.30144																										
400-2	SCT_0300	400	2	.	.	.	.	.	.	.	.	.	5.4	.	0.51008																										
401-2	SCT_0301	401	2	.	.	.	.	.	.	.	.	.	4	.	0.2368																										
402-2	SCT_0302	402	2	.	.	.	.	.	.	.	.	.	4.4	.	0.27456																										
403-2	SCT_0303	403	2	.	.	.	.	.	.	.	.	.	5.1	.	0.3392																										
404-2	SCT_0304	404	2	.	.	.	.	.	.	.	.	.	5.2	.	0.33664																										
405-2	SCT_0305	405	2	.	.	.	.	.	.	.	.	.	6.4	.	0.3552																										
406-2	SCT_0306	406	2	.	.	.	.	.	.	.	.	.	.	.	.																										
407-2	SCT_0307	407	2	.	.	.	.	.	.	.	.	.	5.3	.	0.3264																										
408-2	SCT_0308	408	2	.	.	.	.	.	.	.	.	.	4.8	.	0.43328																										
409-2	SCT_0310	409	2	.	.	.	.	.	.	.	.	.	4.9	.	0.35008																										
410-2	SCT_0311	410	2	.	.	.	.	.	.	.	.	.	5.9	.	0.73536																										
411-2	SCT_0312	411	2	.	.	.	.	.	.	.	.	.	4.8	.	0.33472																										
412-2	SCT_0313	412	2	.	.	.	.	.	.	.	.	.	5.1	.	0.30016																										
413-2	SCT_0314	413	2	.	.	.	.	.	.	.	.	.	5.8	.	0.38976																										
414-2	SCT_0315	414	2	.	.	.	.	.	.	.	.	.	7.7	.	0.37632																										
415-2	SCT_0316	415	2	.	.	.	.	.	.	.	.	.	5.8	.	0.43264																										
416-2	SCT_0317	416	2	.	.	.	.	.	.	.	.	.	5.1	.	0.46912																										
417-2	SCT_0318	417	2	.	.	.	.	.	.	.	.	.	4.3	.	0.33024																										
418-2	SCT_0319	418	2	.	.	.	.	.	.	.	.	.	5.5	.	0.43328																										
419-2	SCT_0320	419	2	.	.	.	.	.	.	.	.	.	6.4	.	0.45056																										
420-2	SCT_0322	420	2	.	.	.	.	.	.	.	.	.	4.9	.	0.38592																										
421-2	SCT_0323	421	2	.	.	.	.	.	.	.	.	.	6.6	.	0.43584																										
422-2	SCT_0324	422	2	.	.	.	.	.	.	.	.	.	5.2	.	0.37632																										
423-2	SCT_0285	423	2	.	.	.	.	.	.	.	.	.	8.3	.	0.58944																										
424-2	SCT_0288	424	2	.	.	.	.	.	.	.	.	.	5.4	.	0.44224																										
425-2	SCT_0291	425	2	.	.	.	.	.	.	.	.	.	4.8	.	0.4																										
426-2	SCT_0309	426	2	.	.	.	.	.	.	.	.	.	5.8	.	0.39872																										
427-2	SCT_0326	427	2	.	.	.	.	.	.	.	.	.	5.5	.	0.31872																										
428-2	SCT_0327	428	2	.	.	.	.	.	.	.	.	.	4.5	.	0.2688																										
429-2	SCT_0328	429	2	.	.	.	.	.	.	.	.	.	5.4	.	0.39872																										
430-2	SCT_0344	430	2	.	.	.	.	.	.	.	.	.	5	.	0.42176																										
431-2	SCT_0359	431	2	.	.	.	.	.	.	.	.	.	4.8	.	0.31488																										
432-2	SCT_0364	432	2	.	.	.	.	.	.	.	.	.	5.8	.	0.4864																										
433-2	SCT_0363	433	2	.	.	.	.	.	.	.	.	.	5.1	.	0.45376																										
434-2	SCT_0360	434	2	.	.	.	.	.	.	.	.	.	5.2	.	0.50496																										
435-2	SCT_0332	435	2	.	.	.	.	.	.	.	.	.	4.8	.	0.46016																										
436-2	SCT_0341	436	2	.	.	.	.	.	.	.	.	.	5.4	.	0.4992																										
437-2	SCT_0342	437	2	.	.	.	.	.	.	.	.	.	6.5	.	0.51456																										
438-2	SCT_0362	438	2	.	.	.	.	.	.	.	.	.	4.8	.	0.51776																										
439-2	SCT_0343	439	2	.	.	.	.	.	.	.	.	.	6.2	.	0.4832																										
440-2	SCT_0345	440	2	.	.	.	.	.	.	.	.	.	5.8	.	0.47936																										
441-2	SCT_0346	441	2	.	.	.	.	.	.	.	.	.	4.7	.	0.5504																										
442-2	SCT_0347	442	2	.	.	.	.	.	.	.	.	.	4.5	.	0.4544																										
443-2	SCT_0348	443	2	.	.	.	.	.	.	.	.	.	5.2	.	0.65344																										
444-2	SCT_0349	444	2	.	.	.	.	.	.	.	.	.	5.8	.	0.44992																										
445-2	SCT_0350	445	2	.	.	.	.	.	.	.	.	.	4.9	.	0.44288																										
446-2	SCT_0351	446	2	.	.	.	.	.	.	.	.	.	4.9	.	0.52864																										
447-2	SCT_0358	447	2	.	.	.	.	.	.	.	.	.	4.3	.	0.42944																										
448-2	SCT_0333	448	2	.	.	.	.	.	.	.	.	.	5.6	.	0.42176																										
449-2	SCT_0352	449	2	.	.	.	.	.	.	.	.	.	4	.	0.35328																										
450-2	SCT_0353	450	2	.	.	.	.	.	.	.	.	.	5.3	.	0.49472																										
451-2	SCT_0366	451	2	.	.	.	.	.	.	.	.	.	6.1	.	0.5728																										
452-2	SCT_0339	452	2	.	.	.	.	.	.	.	.	.	5.4	.	0.40832																										
453-2	SCT_0334	453	2	.	.	.	.	.	.	.	.	.	6	.	0.55616																										
454-2	SCT_0355	454	2	.	.	.	.	.	.	.	.	.	5.2	.	0.45312																										
455-2	SCT_0356	455	2	.	.	.	.	.	.	.	.	.	6.4	.	0.43136																										
456-2	SCT_0338	456	2	.	.	.	.	.	.	.	.	.	5.3	.	0.31744																										
457-2	SCT_0337	457	2	.	.	.	.	.	.	.	.	.	5.9	.	0.32704																										
458-2	SCT_0335	458	2	.	.	.	.	.	.	.	.	.	5.7	.	0.31872																										
459-2	SCT_0336	459	2	.	.	.	.	.	.	.	.	.	4.1	.	0.30208																										
460-2	SCT_0368	460	2	.	.	.	.	.	.	.	.	.	5.5	.	0.34816																										
461-2	SCT_0330	461	2	.	.	.	.	.	.	.	.	.	4.9	.	0.27968																										
462-2	SCT_0331	462	2	.	.	.	.	.	.	.	.	.	6.2	.	0.35648																										
463-2	SCT_0329	463	2	.	.	.	.	.	.	.	.	.	5.8	.	0.35008																										
464-2	SCT_0340	464	2	.	.	.	.	.	.	.	.	.	4.3	.	0.23488																										
465-2	SCT_0361	465	2	.	.	.	.	.	.	.	.	.	6.3	.	0.3808																										
466-2	SCT_0365	466	2	.	.	.	.	.	.	.	.	.	5.2	.	0.38784																										
467-2	SCT_0357	467	2	.	.	.	.	.	.	.	.	.	5.3	.	0.31296																										
468-2	SCT_0354	468	2	.	.	.	.	.	.	.	.	.	5.8	.	0.58944																										
469-2	SCT_0367	469	2	.	.	.	.	.	.	.	.	.	5.1	.	0.54336																										
470-2	SCT_0369	470	2	.	.	.	.	.	.	.	.	.	5.6	.	0.4448																										
