	Tomato Data Entry			Characterization Descriptors									Quality Measures						
8913.1-1	SCT_0327	8913.1	1	.	.	simple	.	.	.	2009/08/27	.	.	5	4.16	0.52224	mixed plot 8913.1 = image A			
8914-1	SCT_0310	8914	1	.	.	simple	.	.	.	2009/08/27	.	.	5.2	4.25	0.5312				
8915-1	SCT_0312	8915	1	.	.	simple	.	.	.	2009/08/27	.	.	5.8	4.31	0.55232				
8916-1	SCT_0314	8916	1	.	.	simple	.	.	.	2009/09/03	.	.	5.7	4.35	0.37888				
8917-1	SCT_0321	8917	1	.	.	simple	.	.	.	2009/09/03	.	.	6.1	4.32	0.44096				
8918-1	SCT_0322	8918	1	.	.	simple	.	.	.	2009/09/24	.	.	5.6	4.26	0.33792				
8919-1	SCT_0323	8919	1	.	.	simple	.	.	.	2009/09/24	.	.	7.3	4.14	0.4896				
8921-1	SCT_0285	8921	1	.	.	simple	.	.	.	2009/09/24	.	.	5.9	4.36	0.4448				
8922-1	SCT_0288	8922	1	.	.	simple	.	.	.	2009/09/03	.	.	5.5	4.4	0.43776				
8923-1	SCT_0291	8923	1	.	.	simple	.	.	.	2009/09/24	.	.	5.7	4.39	0.37632				
8924-1	SCT_0309	8924	1	.	.	simple	.	.	.	2009/08/27	.	.	5.2	4.5	0.35904				
8925-1	SCT_0292	8925	1	.	.	simple	.	.	.	2009/09/03	.	.	5.3	4.32	0.39808				
8926-1	SCT_0307	8926	1	.	.	simple	.	.	.	2009/09/24	.	.	5.2	4.37	0.7648				
8927-1	SCT_0313	8927	1	.	.	simple	.	.	.	2009/09/24	.	.	4.8	4.36	0.3296				
8928-1	SCT_0286	8928	1	.	.	simple	.	.	.	2009/09/24	.	.	6.6	4.49	0.46016				
8929-1	SCT_0305	8929	1	.	.	simple	.	.	.	2009/09/24	.	.	7.5	4.72	0.384				
8930-1	SCT_0290	8930	1	.	.	simple	.	.	.	2009/09/03	.	.	5.5	4.45	0.46016				
8931-1	SCT_0300	8931	1	.	.	simple	.	.	.	2009/08/27	.	.	7	4.25	0.72				
8932-1	SCT_0293	8932	1	.	.	simple	.	.	.	2009/08/27	.	.	5	4.52	0.41088				
8933-1	SCT_0294	8933	1	.	.	simple	.	.	.	2009/08/27	.	.	5.2	4.31	0.54528				
8934-1	SCT_0306	8934	1	.	.	simple	.	.	.	2009/09/24	.	.	5.4	4.36	0.42432				
8935-1	SCT_0315	8935	1	.	.	simple	.	.	.	2009/09/03	.	.	7.5	4.16	0.5216				
8936-1	SCT_0317	8936	1	.	.	simple	.	.	.	2009/08/27	.	.	4.9	4.31	0.68288				
8937-1	SCT_0318	8937	1	.	.	simple	.	.	.	2009/09/03	.	.	4.4	4.21	0.53696				
8938-1	SCT_0319	8938	1	.	.	simple	.	.	.	2009/08/27	.	.	5.9	4.28	0.61568				
8939-1	SCT_0320	8939	1	.	.	simple	.	.	.	2009/09/24	.	.	5.4	4.32	0.49088				
8940-1	SCT_0302	8940	1	.	.	simple	.	.	.	2009/09/03	.	.	4.6	4.36	0.34048				
8941-1	SCT_0328	8941	1	.	.	compound	.	.	.	2009/08/27	.	.	6.6	4.15	0.44736				
8942-1	SCT_0359	8942	1	.	.	simple	.	.	.	2009/09/24	.	.	4.9	4.12	0.59456				
8943-1	SCT_0364	8943	1	.	.	simple	.	.	.	2009/08/27	.	.	5.5	4.14	0.60672				
8944-1	SCT_0363	8944	1	.	.	simple	.	.	.	2009/09/03	.	.	5	4.35	0.41536				
8945-1	SCT_0360	8945	1	.	.	simple	.	.	.	2009/08/27	.	.	5.6	4.32	0.57664				
8946-1	SCT_0332	8946	1	.	.	simple	.	.	.	2009/09/03	.	.	5.2	4.28	0.45632				
8947-1	SCT_0341	8947	1	.	.	simple	.	.	.	2009/08/27	.	.	4.6	4.18	0.44608				
8948-1	SCT_0342	8948	1	.	.	simple	.	.	.	2009/09/24	.	.	6.6	4.1	0.52032				
8949-1	SCT_0362	8949	1	.	.	simple	.	.	.	2009/08/27	.	.	5.8	4.08	0.80192				
8950-1	SCT_0343	8950	1	.	.	simple	.	.	.	2009/08/27	.	.	7.5	4.41	0.54336				
8951-1	SCT_0344	8951	1	.	.	simple	.	.	.	2009/09/03	.	.	5	4.02	0.62016				
8952-1	SCT_0345	8952	1	.	.	simple	.	.	.	2009/09/03	.	.	6.4	4.54	0.41792				
8953-1	SCT_0346	8953	1	.	.	simple	.	.	.	2009/09/03	.	.	5	4.14	0.6048				
8954-1	SCT_0347	8954	1	.	.	simple	.	.	.	2009/09/03	.	.	4.7	4.16	0.44672				
8955-1	SCT_0348	8955	1	.	.	simple	.	.	.	2009/08/27	.	.	5.1	4.17	0.51136				
8956-1	SCT_0349	8956	1	.	.	simple	.	.	.	2009/09/03	.	.	5.6	4.36	0.47936				
8957-1	SCT_0350	8957	1	.	.	simple	.	.	.	2009/08/27	.	.	5.4	4.29	0.49408				
8958-1	SCT_0351	8958	1	.	.	simple	.	.	.	2009/09/03	.	.	5.6	4.27	0.55936				
8959-1	SCT_0358	8959	1	.	.	simple	.	.	.	2009/08/27	.	.	5	4.32	0.4672				
8960-1	SCT_0333	8960	1	.	.	simple	.	.	.	2009/09/03	.	.	6.5	4.25	0.53184				
8961-1	SCT_0352	8961	1	.	.	simple	.	.	.	2009/09/03	.	.	6	4.38	0.54592				
8962-1	SCT_0353	8962	1	.	.	simple	.	.	.	2009/09/03	.	.	4.8	4.15	0.54848				
8963-1	SCT_0366	8963	1	.	.	simple	.	.	.	2009/08/27	.	.	5.1	4.07	0.70784				
8964-1	SCT_0339	8964	1	.	.	simple	.	.	.	2009/09/24	.	.	4.7	4.43	0.42688				
8965-1	SCT_0334	8965	1	.	.	simple	.	.	.	2009/09/24	.	.	5.7	4.43	0.54208				
8966-1	SCT_0355	8966	1	.	.	simple	.	.	.	2009/08/27	.	.	5.7	4.11	0.5952				
8967-1	SCT_0356	8967	1	.	.	simple	.	.	.	2009/09/24	.	.	7.7	4.45	0.34432				
8968-1	SCT_0338	8968	1	.	.	simple	.	.	.	2009/09/03	.	.	5.7	4.42	0.4768				
8969-1	SCT_0337	8969	1	.	.	simple	.	.	.	2009/09/03	.	.	6	4.46	0.52672				
8970-1	SCT_0335	8970	1	.	.	simple	.	.	.	2009/09/03	.	.	4.7	4.29	0.46976				
8971-1	SCT_0336	8971	1	.	.	simple	.	.	.	2009/09/24	.	.	4.9	4.3	0.48064				
8972-1	SCT_0368	8972	1	.	.	simple	.	.	.	2009/08/27	.	.	5.4	4.24	0.43456				
8973-1	SCT_0330	8973	1	.	.	simple	.	.	.	2009/09/03	.	.	4.8	4.41	0.42368				
8974-1	SCT_0331	8974	1	.	.	simple	.	.	.	2009/09/03	.	.	6.5	4.3	0.4896				
8975-1	SCT_0329	8975	1	.	.	simple	.	.	.	2009/09/03	.	.	5.2	4.42	0.39168				
8976-1	SCT_0340	8976	1	.	.	simple	.	.	.	2009/09/24	.	.	5.1	4.33	0.4224				
8977-1	SCT_0361	8977	1	.	.	simple	.	.	.	2009/09/24	.	.	5.7	4.76	0.2656				
8978-1	SCT_0365	8978	1	.	.	simple	.	.	.	2009/09/03	.	.	5.4	4.21	0.45696				
8979-1	SCT_0357	8979	1	.	.	simple	.	.	.	2009/08/27	.	.	5.1	4.27	0.44608				
8980-1	SCT_0354	8980	1	.	.	simple	.	.	.	2009/09/03	.	.	5.6	3.9	0.80704				
8981-1	SCT_0367	8981	1	.	.	simple	.	.	.	2009/09/03	.	.	6	4.1	0.77248				
8982-1	SCT_0369	8982	1	.	.	simple	.	.	.	2009/09/24	.	.	6.8	4.15	0.6208				
8983-2	SCT_0288	8983	2	.	.	simple	.	.	.	2009/09/03	.	.	5.6	4.37	0.48				
8984-2	SCT_0304	8984	2	.	.	simple	.	.	.	2009/09/03	.	.	6	4.37	0.46464				
8985-2	SCT_0326	8985	2	.	.	simple	.	.	.	2009/09/03	.	.	5.3	4.01	0.75712				
8986-2	SCT_0286	8986	2	.	.	simple	.	.	.	2009/09/24	.	.	5.3	4.37	0.39616				
8987-2	SCT_0306	8987	2	.	.	simple	.	.	.	2009/09/24	.	.	5.3	4.33	0.35456				
8988-2	SCT_0307	8988	2	.	.	simple	.	.	.	2009/09/24	.	.	5.9	4.3	0.416				
8989-2	SCT_0285	8989	2	.	.	simple	.	.	.	2009/09/24	.	.	5.7	4.38	0.43776				
8990-2	SCT_0294	8990	2	.	.	simple	.	.	.	2009/08/27	.	.	4.9	4.24	0.57216				
8991-2	SCT_0292	8991	2	.	.	simple	.	.	.	2009/09/03	.	.	5.5	4.38	0.44992				
8992-2	SCT_0314	8992	2	.	.	simple	.	.	.	2009/09/24	.	.	5.4	4.4	0.41792				
8993-2	SCT_0287	8993	2	.	.	simple	.	.	.	2009/09/03	.	.	5.9	4.45	0.43328				
8994-2	SCT_0300	8994	2	.	.	simple	.	.	.	2009/08/27	.	.	6.3	4.14	0.64768				
8995-2	SCT_0320	8995	2	.	.	simple	.	.	.	2009/09/24	.	.	5.7	4.2	0.5344				
8996-2	SCT_0295	8996	2	.	.	simple	.	.	.	2009/09/03	.	.	6.6	4.48	0.55232				
8997-2	SCT_0291	8997	2	.	.	simple	.	.	.	2009/09/03	.	.	4.8	4.38	0.36544				
8998-2	SCT_0310	8998	2	.	.	simple	.	.	.	2009/08/27	.	.	5.3	4.17	0.60224				
8999-2	SCT_0298	8999	2	.	.	simple	.	.	.	2009/09/24	.	.	5.7	4.33	0.36992				
9000-2	SCT_0289	9000	2	.	.	simple	.	.	.	2009/08/27	.	.	5.6	4.21	0.49984				
9001-2	SCT_0321	9001	2	.	.	simple	.	.	.	2009/09/03	.	.	5.7	4.27	0.44672				
9002-2	SCT_0313	9002	2	.	.	simple	.	.	.	2009/09/24	.	.	4.6	4.27	0.31744				
9003-2	SCT_0327	9003	2	.	.	simple	.	.	.	2009/08/27	.	.	5.2	4.19	0.48448				
9004-2	SCT_0296	9004	2	.	.	simple	.	.	.	2009/09/24	.	.	5.5	4.22	0.46208				
9005-2	SCT_0290	9005	2	.	.	simple	.	.	.	2009/09/24	.	.	5.8	4.2	0.51136				
9006-2	SCT_0293	9006	2	.	.	simple	.	.	.	2009/09/24	.	.	5.2	4.43	0.37184				
9007-2	SCT_0317	9007	2	.	.	simple	.	.	.	2009/08/27	.	.	4.9	4.16	0.57344				
9008-2	SCT_0299	9008	2	.	.	simple	.	.	.	2009/09/24	.	.	6	4.54	0.28736				
9009-3	SCT_0308	9009	3	.	.	simple	.	.	.	2009/08/27	.	.	5.6	4.27	0.56192				
9010-2	SCT_0302	9010	2	.	.	simple	.	.	.	2009/09/03	.	.	5.2	4.42	0.32896				
9011-2	SCT_0315	9011	2	.	.	simple	.	.	.	2009/08/27	.	.	7.9	4.3	0.45696				
9012-2	SCT_0305	9012	2	.	.	simple	.	.	.	2009/09/03	.	.	6.9	4.53	0.46016				
9013-2	SCT_0319	9013	2	.	.	simple	.	.	.	2009/08/27	.	.	6.1	4.23	0.61696				
9014-2	SCT_0323	9014	2	.	.	simple	.	.	.	2009/09/03	.	.	6.6	4.12	0.47808				
9015-4	SCT_0308	9015	4	.	.	simple	.	.	.	.	.	.	.	.	.				
9016-2	SCT_0312	9016	2	.	.	simple	.	.	.	2009/09/03	.	.	5.5	4.45	0.4288				
9017-2	SCT_0322	9017	2	.	.	simple	.	.	.	2009/09/24	.	.	5.4	4.25	0.3424				
9018-2	SCT_0318	9018	2	.	.	simple	.	.	.	2009/08/27	.	.	4.4	4.07	0.4928				
9020-2	SCT_0325	9020	2	.	.	simple	.	.	.	2009/09/03	.	.	5.3	4.23	0.46784				
9021-2	SCT_0309	9021	2	.	.	simple	.	.	.	2009/09/24	.	.	6.1	4.43	0.40832				
9022-2	SCT_0303	9022	2	.	.	simple	.	.	.	2009/09/24	.	.	5.2	4.13	0.48064				
9023-2	SCT_0328	9023	2	.	.	compound	.	.	.	2009/08/27	.	.	6.6	4.08	0.53056				
9024-2	SCT_0363	9024	2	.	.	simple	.	.	.	2009/09/24	.	.	6.4	4.19	0.4192				
9025-2	SCT_0350	9025	2	.	.	simple	.	.	.	2009/08/27	.	.	5.9	4.13	0.5248				
9026-2	SCT_0348	9026	2	.	.	simple	.	.	.	2009/08/27	.	.	5.8	4.26	0.52736				
9027-2	SCT_0354	9027	2	.	.	simple	.	.	.	2009/09/03	.	.	5.5	3.92	0.7424				
9028-2	SCT_0334	9028	2	.	.	simple	.	.	.	2009/08/27	.	.	5.5	4.3	0.4352				
9029-2	SCT_0362	9029	2	.	.	simple	.	.	.	2009/08/27	.	.	6.2	4.17	0.68992				
9031-2	SCT_0331	9031	2	.	.	simple	.	.	.	2009/09/03	.	.	6.5	4.21	0.5536				
9032-2	SCT_0340	9032	2	.	.	simple	.	.	.	2009/08/27	.	.	5.2	4.26	0.50176				
9033-2	SCT_0352	9033	2	.	.	simple	.	.	.	2009/09/03	.	.	5.7	4.23	0.544				
9034-2	SCT_0339	9034	2	.	.	simple	.	.	.	2009/09/03	.	.	4.7	4.02	0.56128				
9035-2	SCT_0366	9035	2	.	.	simple	.	.	.	2009/08/27	.	.	5.3	4.2	0.5376				
9036-2	SCT_0333	9036	2	.	.	simple	.	.	.	2009/09/03	.	.	5.8	4.18	0.57344				
9037-2	SCT_0347	9037	2	.	.	simple	.	.	.	2009/09/24	.	.	4.5	3.97	0.49856				
9038-2	SCT_0342	9038	2	.	.	simple	.	.	.	2009/09/24	.	.	6.4	4.52	0.37184				
9039-2	SCT_0349	9039	2	.	.	simple	.	.	.	2009/09/24	.	.	6.5	4.38	0.50048				
9040-2	SCT_0369	9040	2	.	.	simple	.	.	.	2009/09/24	.	.	5.5	4.09	0.61248				
9041-2	SCT_0357	9041	2	.	.	simple	.	.	.	2009/08/27	.	.	5.2	4.35	0.4768				
9042-2	SCT_0367	9042	2	.	.	simple	.	.	.	2009/09/03	.	.	5.6	3.86	0.78528				
9043-2	SCT_0356	9043	2	.	.	simple	.	.	.	2009/09/03	.	.	6.9	4.4	0.55936				
9044-2	SCT_0360	9044	2	.	.	simple	.	.	.	2009/08/27	.	.	6	4.26	0.53696				
9045-2	SCT_0355	9045	2	.	.	simple	.	.	.	2009/08/27	.	.	5.8	4.31	0.4704				
9046-2	SCT_0351	9046	2	.	.	simple	.	.	.	2009/09/03	.	.	5.7	4.11	0.62464				
9047-2	SCT_0329	9047	2	.	.	simple	.	.	.	2009/09/03	.	.	5.8	4.55	0.37376				
9048-2	SCT_0368	9048	2	.	.	simple	.	.	.	2009/09/03	.	.	5.7	4.33	0.4				
9049-2	SCT_0343	9049	2	.	.	simple	.	.	.	2009/09/24	.	.	7.5	4.12	0.69568				
9050-2	SCT_0335	9050	2	.	.	simple	.	.	.	2009/09/03	.	.	4.9	4.28	0.41728				
9051-2	SCT_0361	9051	2	.	.	simple	.	.	.	2009/09/03	.	.	6.8	4.57	0.36928				
9052-2	SCT_0341	9052	2	.	.	simple	.	.	.	2009/08/27	.	.	4.8	4.21	0.47232				
9053-2	SCT_0330	9053	2	.	.	simple	.	.	.	2009/09/24	.	.	4.8	4.29	0.352				
9054-2	SCT_0344	9054	2	.	.	simple	.	.	.	2009/08/27	.	.	5	4.14	0.57152				
9055-2	SCT_0345	9055	2	.	.	simple	.	.	.	2009/09/03	.	.	6.8	4.41	0.44672				
9056-2	SCT_0332	9056	2	.	.	simple	.	.	.	2009/09/24	.	.	4.7	4.31	0.38336				
9057-2	SCT_0338	9057	2	.	.	simple	.	.	.	2009/09/03	.	.	6.4	4.26	0.48768				
9058.2-2	SCT_0359	9058.2	2	.	.	simple	.	.	.	2009/09/03	.	.	5.7	4.06	0.62976	mixed plot 9058.2 = image B			
9058.1-2	SCT_0359	9058.1	2	.	.	simple	.	.	.	2009/09/03	.	.	5.3	4.15	0.65536	mixed plot 9058.1 = image A			
9059-2	SCT_0353	9059	2	.	.	simple	.	.	.	2009/09/03	.	.	5.2	4.05	0.50368				
9060-2	SCT_0365	9060	2	.	.	simple	.	.	.	2009/09/03	.	.	5.8	4.09	0.45056				
9061-2	SCT_0336	9061	2	.	.	simple	.	.	.	2009/09/03	.	.	5.3	4.22	0.49856				
9062-2	SCT_0337	9062	2	.	.	simple	.	.	.	2009/09/03	.	.	6.4	4.44	0.36096				
9063-2	SCT_0346	9063	2	.	.	simple	.	.	.	2009/09/03	.	.	5.2	4.11	0.61824				
9064-2	SCT_0364	9064	2	.	.	simple	.	.	.	2009/09/03	.	.	6.3	4.1	0.63488				
9065-2	SCT_0316	9065	2	.	.	simple	.	.	.	2009/09/24	.	.	5.2	4.3	0.34752				
9066.2-2	SCT_0301	9066.2	2	.	.	simple	.	.	.	2009/09/03	.	.	5.7	3.89	0.88192	mixed plot 9066.2 = image B			
9066.1-2	SCT_0301	9066.1	2	.	.	simple	.	.	.	2009/09/03	.	.	5.9	3.96	0.7392	mixed plot 9066.1 = image A			
9067-2	SCT_0311	9067	2	.	.	simple	.	.	.	2009/08/27	.	.	6	4.17	0.55168				
