MARKER	Framework	Map	LINKAGE_GROUP	POSITION	PROTOCOL	CONFIDENCE	MARKER_ID	abstract
SL10963_93	No	Yellow Stuffer × LA1589	5	42.1	SNP			
SL10469_202	No	Yellow Stuffer × LA1589	5	42.7	SNP			
SL10373i	No	Yellow Stuffer × LA1589	5	42.7	Indel			
TG619	Yes	Yellow Stuffer × LA1589	5	42.7	RFLP			
SL10639_108	No	Yellow Stuffer × LA1589	5	42.8	SNP			
SL20210_883i	No	Yellow Stuffer × LA1589	5	46	Indel			
SL20097_454	No	Yellow Stuffer × LA1589	5	49.8	SNP			
CT118	Yes	Yellow Stuffer × LA1589	5	57.5	RFLP			
TG185	Yes	Yellow Stuffer × LA1589	5	88.3	RFLP			
CT216	Yes	Yellow Stuffer × LA1589	6	0	RFLP			
SL20059_542	No	Yellow Stuffer × LA1589	6	10.7	SNP			
SL10401_823	No	Yellow Stuffer × LA1589	6	11.2	SNP			
TG590	Yes	Yellow Stuffer × LA1589	6	15.7	RFLP			
TG356	Yes	Yellow Stuffer × LA1589	6	37.4	RFLP			
TG365	Yes	Yellow Stuffer × LA1589	6	49.3	RFLP			
TG253	Yes	Yellow Stuffer × LA1589	6	54.7	RFLP			
SL10882_924	No	Yellow Stuffer × LA1589	6	61.6	SNP			
CT206	Yes	Yellow Stuffer × LA1589	6	78.2	RFLP			
TG314	Yes	Yellow Stuffer × LA1589	6	80.9	RFLP			
TG342	Yes	Yellow Stuffer × LA1589	7	0	RFLP			
CT52	Yes	Yellow Stuffer × LA1589	7	10.3	RFLP			
TG183	Yes	Yellow Stuffer × LA1589	7	33.8	RFLP			
SL10075_405	No	Yellow Stuffer × LA1589	7	40.9	SNP			
SL10138_760	No	Yellow Stuffer × LA1589	7	42.8	SNP			
CD54	Yes	Yellow Stuffer × LA1589	7	43.6	RFLP			
SL10974_140	No	Yellow Stuffer × LA1589	7	52.6	SNP			
TG176	Yes	Yellow Stuffer × LA1589	8	0	RFLP			
SL10192_243	No	Yellow Stuffer × LA1589	8	3.2	SNP			
SL10015_808	No	Yellow Stuffer × LA1589	8	3.4	SNP			
CT47	Yes	Yellow Stuffer × LA1589	8	3.5	RFLP			
CT92	Yes	Yellow Stuffer × LA1589	8	4.6	RFLP			
SL20135_657	No	Yellow Stuffer × LA1589	8	4.9	SNP			
TG349	Yes	Yellow Stuffer × LA1589	8	12.3	RFLP			
TG302	Yes	Yellow Stuffer × LA1589	8	18.6	RFLP			
TG330	Yes	Yellow Stuffer × LA1589	8	32.5	RFLP			
CT265	Yes	Yellow Stuffer × LA1589	8	52.2	RFLP			
SL10044_159	No	Yellow Stuffer × LA1589	8	56.9	SNP			
SL10377_340	No	Yellow Stuffer × LA1589	8	60.8	SNP			
CT68	Yes	Yellow Stuffer × LA1589	8	66.3	RFLP			
TG18	Yes	Yellow Stuffer × LA1589	9	0	RFLP			
SL10471_963	No	Yellow Stuffer × LA1589	9	13.2	SNP			
CT143	Yes	Yellow Stuffer × LA1589	9	16.9	RFLP			
SL10004_409	No	Yellow Stuffer × LA1589	9	31	SNP			
TG291	Yes	Yellow Stuffer × LA1589	9	43.8	RFLP			
SL10024_198	No	Yellow Stuffer × LA1589	9	45.1	SNP			
TG551	Yes	Yellow Stuffer × LA1589	9	54.1	RFLP			
SL10099_434	No	Yellow Stuffer × LA1589	9	56.4	SNP			
CT74	Yes	Yellow Stuffer × LA1589	9	64.8	RFLP			
TG421	Yes	Yellow Stuffer × LA1589	9	75.8	RFLP			
TG328	Yes	Yellow Stuffer × LA1589	9	95.3	RFLP			
SL10082_607	No	Yellow Stuffer × LA1589	10	0	SNP			
SL10533_249	No	Yellow Stuffer × LA1589	10	2.4	SNP			
TG122	Yes	Yellow Stuffer × LA1589	10	5.9	RFLP			
CT234	Yes	Yellow Stuffer × LA1589	10	19.8	RFLP			
SL10102_232	No	Yellow Stuffer × LA1589	10	31.9	SNP			
CT11	Yes	Yellow Stuffer × LA1589	10	34.4	RFLP			
CT203	Yes	Yellow Stuffer × LA1589	10	42.5	RFLP			
TG403	Yes	Yellow Stuffer × LA1589	10	75.7	RFLP			
TG63	Yes	Yellow Stuffer × LA1589	10	88.1	RFLP			
SL10807_70	No	Yellow Stuffer × LA1589	10	88.4	SNP			
TG497	Yes	Yellow Stuffer × LA1589	11	0	RFLP			
TG508	Yes	Yellow Stuffer × LA1589	11	17.6	RFLP			
SL10120_1159	No	Yellow Stuffer × LA1589	11	29.7	SNP			
TG147	Yes	Yellow Stuffer × LA1589	11	42.4	RFLP			
SL10781_119	No	Yellow Stuffer × LA1589	11	42.7	SNP			
SL10915_297	No	Yellow Stuffer × LA1589	11	42.7	SNP			
SL10831_391	No	Yellow Stuffer × LA1589	11	42.7	SNP			
TG384	Yes	Yellow Stuffer × LA1589	11	45.9	RFLP			
SL10715_489	No	Yellow Stuffer × LA1589	11	60.6	SNP			
TG546	Yes	Yellow Stuffer × LA1589	11	66.9	RFLP			
TG36	Yes	Yellow Stuffer × LA1589	11	73.5	RFLP			
TG393	Yes	Yellow Stuffer × LA1589	11	84.5	RFLP			
SL10027_565	No	Yellow Stuffer × LA1589	11	84.9	SNP			
TG180	Yes	Yellow Stuffer × LA1589	12	0	RFLP			
TG68	Yes	Yellow Stuffer × LA1589	12	10.3	RFLP			
CT211	Yes	Yellow Stuffer × LA1589	12	30.9	RFLP			
TG360	Yes	Yellow Stuffer × LA1589	12	44.6	RFLP			
TG565	Yes	Yellow Stuffer × LA1589	12	51.3	RFLP			
TG111	Yes	Yellow Stuffer × LA1589	12	57.1	RFLP			
SL10560_917	No	Yellow Stuffer × LA1589	12	76.1	SNP			
CT156	Yes	Yellow Stuffer × LA1589	12	82.1	RFLP			
CT276	Yes	Yellow Stuffer × LA1589	12	93.5	RFLP			
