	Tomato Data Entry			Characterization Descriptors									Quality Measures			Comment			
2411-1	SCT_0326	2411	1	.	.	.	.	.	.	.	.	.	4.04	.	0.52672				
2412-2	SCT_0326	2412	2	.	.	.	.	.	.	.	.	.	3.97	.	0.489856				
2421-1	SCT_0327	2421	1	.	.	.	.	.	.	.	.	.	5.12	.	0.525824				
2422-2	SCT_0327	2422	2	.	.	.	.	.	.	.	.	.	4.3	.	0.4896				
2431-1a	SCT_0328	2431	1a	.	.	.	.	.	.	.	.	.	6.63	.	0.386304				
2431-1b	SCT_0328	2431	1b	.	.	.	.	.	.	.	.	.	5.51	.	0.375168				
2771-1a	SCT_0329	2771	1a	.	.	.	.	.	.	.	.	.	3.89	.	0.279552				
2771-1b	SCT_0329	2771	1b	.	.	.	.	.	.	.	.	.	4.41	.	0.2464				
2751-1	SCT_0330	2751	1	.	.	.	.	.	.	.	.	.	4.01	.	0.305792				
2752-2	SCT_0330	2752	2	.	.	.	.	.	.	.	.	.	3.51	.	0.273792				
2761-1	SCT_0331	2761	1	.	.	.	.	.	.	.	.	.	4.82	.	0.494976				
2762-2	SCT_0331	2762	2	.	.	.	.	.	.	.	.	.	4.97	.	0.44864				
2491-1	SCT_0332	2491	1	.	.	.	.	.	.	.	.	.	4.05	.	0.384256				
2492-2	SCT_0332	2492	2	.	.	.	.	.	.	.	.	.	3.87	.	0.420864				
2621-1	SCT_0333	2621	1	.	.	.	.	.	.	.	.	.	5.09	.	0.47808				
2622-2	SCT_0333	2622	2	.	.	.	.	.	.	.	.	.	4.75	.	0.412928				
2671-1a	SCT_0334	2671	1a	.	.	.	.	.	.	.	.	.	4.25	.	0.37504				
2671-1b	SCT_0334	2671	1b	.	.	.	.	.	.	.	.	.	4.64	.	0.354688				
2721-1a	SCT_0335	2721	1a	.	.	.	.	.	.	.	.	.	3.85	.	0.48064				
2721-1b	SCT_0335	2721	1b	.	.	.	.	.	.	.	.	.	3.75	.	0.324608				
2731-1	SCT_0336	2731	1	.	.	.	.	.	.	.	.	.	3.85	.	0.372352				
2732-2	SCT_0336	2732	2	.	.	.	.	.	.	.	.	.	.	.	.				
2711-1	SCT_0337	2711	1	.	.	.	.	.	.	.	.	.	3.44	.	0.362368				
2712-2	SCT_0337	2712	2	.	.	.	.	.	.	.	.	.	.	.	.				
2701-1	SCT_0338	2701	1	.	.	.	.	.	.	.	.	.	5.2	.	0.378752				
2702-2	SCT_0338	2702	2	.	.	.	.	.	.	.	.	.	4.45	.	0.373632				
2661-1a	SCT_0339	2661	1a	.	.	.	.	.	.	.	.	.	3.06	.	0.44096				
2661-1b	SCT_0339	2661	1b	.	.	.	.	.	.	.	.	.	3.56	.	0.521088				
2781-1	SCT_0340	2781	1	.	.	.	.	.	.	.	.	.	3.63	.	0.244864				
2782-2	SCT_0340	2782	2	.	.	.	.	.	.	.	.	.	4	.	0.227456				
2501-1	SCT_0341	2501	1	.	.	.	.	.	.	.	.	.	3.59	.	0.44416				
2502-2	SCT_0341	2502	2	.	.	.	.	.	.	.	.	.	3.86	.	0.353792				
2511-1a	SCT_0342	2511	1a	.	.	.	.	.	.	.	.	.	5.46	.	0.372096				
2511-1b	SCT_0342	2511	1b	.	.	.	.	.	.	.	.	.	5.48	.	0.300288				
2531-1	SCT_0343	2531	1	.	.	.	.	.	.	.	.	.	5.28	.	0.60864				
2532-2	SCT_0343	2532	2	.	.	.	.	.	.	.	.	.	5.43	.	0.555776				
2441-1a	SCT_0344	2441	1a	.	.	.	.	.	.	.	.	.	3.42	.	0.543232				
2541-1a	SCT_0344	2541	1a	.	.	.	.	.	.	.	.	.	4.02	.	0.52352				
2441-1b	SCT_0344	2441	1b	.	.	.	.	.	.	.	.	.	3.23	.	0.532736				
2541-1b	SCT_0344	2541	1b	.	.	.	.	.	.	.	.	.	3.61	.	0.380288				
2551-1	SCT_0345	2551	1	.	.	.	.	.	.	.	.	.	3.84	.	0.496896				
2552-2	SCT_0345	2552	2	.	.	.	.	.	.	.	.	.	3.85	.	0.49344				
2561-1	SCT_0346	2561	1	.	.	.	.	.	.	.	.	.	3.67	.	0.515712				
2562-2	SCT_0346	2562	2	.	.	.	.	.	.	.	.	.	3.36	.	0.397056				
2571-1a	SCT_0347	2571	1a	.	.	.	.	.	.	.	.	.	4.29	.	0.603008				
2571-1b	SCT_0347	2571	1b	.	.	.	.	.	.	.	.	.	4.51	.	0.361088				
2581-1a	SCT_0348	2581	1a	.	.	.	.	.	.	.	.	.	4.93	.	0.46976				
2581-1b	SCT_0348	2581	1b	.	.	.	.	.	.	.	.	.	4.04	.	0.403584				
2591-1	SCT_0349	2591	1	.	.	.	.	.	.	.	.	.	3.82	.	0.411776				
2592-2	SCT_0349	2592	2	.	.	.	.	.	.	.	.	.	3.85	.	0.363904				
2601-1a	SCT_0350	2601	1a	.	.	.	.	.	.	.	.	.	4.82	.	0.57664				
2601-1b	SCT_0350	2601	1b	.	.	.	.	.	.	.	.	.	4.23	.	0.445312				
2611-1	SCT_0351	2611	1	.	.	.	.	.	.	.	.	.	4.09	.	0.40448				
2612-2	SCT_0351	2612	2	.	.	.	.	.	.	.	.	.	3.86	.	0.450688				
2631-1	SCT_0352	2631	1	.	.	.	.	.	.	.	.	.	5.06	.	0.496896				
2632-2	SCT_0352	2632	2	.	.	.	.	.	.	.	.	.	4.35	.	0.409984				
2641-1a	SCT_0353	2641	1a	.	.	.	.	.	.	.	.	.	3.42	.	0.430976				
2641-1b	SCT_0353	2641	1b	.	.	.	.	.	.	.	.	.	3.52	.	0.514048				
2821-1	SCT_0354	2821	1	.	.	.	.	.	.	.	.	.	4.01	.	0.719872				
2822-2	SCT_0354	2822	2	.	.	.	.	.	.	.	.	.	3.68	.	0.570752				
2681-1	SCT_0355	2681	1	.	.	.	.	.	.	.	.	.	5.04	.	0.51136				
2682-2	SCT_0355	2682	2	.	.	.	.	.	.	.	.	.	3.43	.	0.498304				
2691-1	SCT_0356	2691	1	.	.	.	.	.	.	.	.	.	5.26	.	0.442112				
2692-2	SCT_0356	2692	2	.	.	.	.	.	.	.	.	.	4.85	.	0.32192				
2811-1	SCT_0357	2811	1	.	.	.	.	.	.	.	.	.	3.26	.	0.375168				
2812-2	SCT_0357	2812	2	.	.	.	.	.	.	.	.	.	3.8	.	0.42752				
2451-1	SCT_0360	2451	1	.	.	.	.	.	.	.	.	.	4.1	.	0.489344				
2481-1a	SCT_0360	2481	1a	.	.	.	.	.	.	.	.	.	4.56	.	0.562176				
2452-2	SCT_0360	2452	2	.	.	.	.	.	.	.	.	.	3.81	.	0.41984				
2481-1b	SCT_0360	2481	1b	.	.	.	.	.	.	.	.	.	5.18	.	0.476928				
2791-1	SCT_0361	2791	1	.	.	.	.	.	.	.	.	.	4.65	.	0.333312				
2792-2	SCT_0361	2792	2	.	.	.	.	.	.	.	.	.	4.35	.	0.321536				
2521-1a	SCT_0362	2521	1a	.	.	.	.	.	.	.	.	.	4.39	.	0.598784				
2521-1b	SCT_0362	2521	1b	.	.	.	.	.	.	.	.	.	4.18	.	0.41664				
2471-1	SCT_0363	2471	1	.	.	.	.	.	.	.	.	.	4.09	.	0.308992				
2472-2	SCT_0363	2472	2	.	.	.	.	.	.	.	.	.	3.81	.	0.290944				
2461-1	SCT_0364	2461	1	.	.	.	.	.	.	.	.	.	4.36	.	0.42432				
2462-2	SCT_0364	2462	2	.	.	.	.	.	.	.	.	.	3.81	.	0.3968				
2801-1	SCT_0365	2801	1	.	.	.	.	.	.	.	.	.	4.75	.	0.329344				
2802-2	SCT_0365	2802	2	.	.	.	.	.	.	.	.	.	3.7	.	0.369536				
2651-1	SCT_0366	2651	1	.	.	.	.	.	.	.	.	.	4.55	.	0.5312				
2652-2	SCT_0366	2652	2	.	.	.	.	.	.	.	.	.	4.28	.	0.443648				
2831-1a	SCT_0367	2831	1a	.	.	.	.	.	.	.	.	.	4.59	.	0.62912				
2831-1b	SCT_0367	2831	1b	.	.	.	.	.	.	.	.	.	3.82	.	0.574976				
2741-1	SCT_0368	2741	1	.	.	.	.	.	.	.	.	.	4.36	.	0.526848				
2742-2	SCT_0368	2742	2	.	.	.	.	.	.	.	.	.	3.44	.	0.529024				
2841-1	SCT_0369	2841	1	.	.	.	.	.	.	.	.	.	4.44	.	0.381952				
2842-2	SCT_0369	2842	2	.	.	.	.	.	.	.	.	.	4.09	.	0.365952				
