	Tomato Data Entry			Characterization Descriptors									Quality Measures					
163-1	SCT_0141	163	1	.	.	.	.	.	.	2009/09/12	.	76861.2669554278	4.65	4.43	0.199965371648569		47.22	.
164-1	SCT_0101	164	1	.	.	.	.	.	.	2009/09/16	.	56748.038219428	5.7	4.35	0.301855084177949		47.22	.
165-1	SCT_0063	165	1	.	.	.	.	.	.	2009/09/12	.	64649.6637942851	4.75	4.46	0.232112393248748		43.58	.
166-1	SCT_0136	166	1	.	.	.	.	.	.	2009/09/16	.	53874.7198285709	4.8	4.41	0.335091835323896		36.32	.
167-1	SCT_0075	167	1	.	.	.	.	.	.	2009/09/14	.	53156.3902308566	4.3	4.41	0.19015780573665		36.32	.
168-1	SCT_0018	168	1	.	.	.	.	.	.	2009/09/16	.	43818.105460571	5.6	4.58	0.29204751826603		43.58	.
169-1	SCT_0079	169	1	.	.	.	.	.	.	2009/09/16	.	70396.3005759993	4.85	4.38	0.330188052367937		41.77	.
170-1	SCT_0028	170	1	.	.	.	.	.	.	2009/09/12	.	51719.7310354281	5.45	4.48	0.373777234198688		39.95	.
171-1	SCT_0100	171	1	.	.	.	.	.	.	2009/09/25	.	68959.6413805708	5.35	4.27	0.386853988747913		47.22	.
172-1	SCT_0070	172	1	.	.	.	.	.	.	2009/09/14	.	53156.3902308566	4.8	4.41	0.342175077371393		38.14	.
173-1	SCT_0106	173	1	.	.	.	.	.	.	2009/09/28	.	25141.5359199998	4.5	4.42	0.33672642964255		41.77	.
174-1	SCT_0094	174	1	.	.	.	.	.	.	2009/09/25	.	43099.7758628567	5.05	4.32	0.382495070564838		47.22	.
175-1	SCT_0142	175	1	.	.	.	.	.	.	2009/09/16	.	53874.7198285709	5.3	4.44	0.296951301221989		45.4	.
176-1	SCT_0057	176	1	.	.	.	.	.	.	2009/09/14	.	65367.9933919994	5.3	4.44	0.326918863730631		45.4	.
177-1	SCT_0078	177	1	.	.	.	.	.	.	2009/09/14	.	62494.6750011423	4.9	4.39	0.342719942144278		50.85	.
178-1	SCT_0058	178	1	.	.	.	.	.	.	2009/09/16	.	71832.9597714279	5.35	4.49	0.326918863730631		39.95	.
179-1	SCT_0061	179	1	.	.	.	.	.	.	2009/09/14	.	51001.4014377138	4.8	4.43	0.315476703500059		47.22	.
180-1	SCT_0045	180	1	.	.	.	.	.	.	2009/09/12	.	68959.6413805708	5.3	4.42	0.322015080774671		39.95	.
181-1	SCT_0076	181	1	.	.	.	.	.	.	2009/09/16	.	54593.0494262852	5.25	4.43	0.286054005764302		38.14	.
182-1	SCT_0055	182	1	.	.	.	.	.	.	2009/09/12	.	54593.0494262852	4.75	4.53	0.26970806257777		50.85	.
183-1	SCT_0133	183	1	.	.	.	.	.	.	2009/09/16	.	59621.3566102851	4.7	4.54	0.20377942505876		39.95	.
184-1	SCT_0122	184	1	.	.	.	.	.	.	2009/09/10	.	41663.1166674282	4.75	4.61	0.204869154604529		50.85	.
185-1	SCT_0024	185	1	.	.	.	.	.	.	2009/09/16	.	43818.105460571	5.45	4.69	0.247913471662395		49.03	.
186-1	SCT_0130	186	1	.	.	.	.	.	.	2009/09/12	.	58903.0270125709	.	.	.		41.77	.
187-1	SCT_0016	187	1	.	.	.	.	.	.	2009/09/20	.	13648.2623565713	5.8	4.42	0.344899401235815		36.32	.
188-1	SCT_0097	188	1	.	.	.	.	.	.	2009/09/08	.	17239.9103451427	5.95	4.4	0.332912376232359		45.4	.
189-1	SCT_0052	189	1	.	.	.	.	.	.	2009/09/16	.	51719.7310354281	5.5	4.28	0.374322098971572		43.58	.
190-1	SCT_0025	190	1	.	.	.	.	.	.	2009/09/14	.	52438.0606331424	4.75	4.55	0.245189147797973		38.14	.
191-1	SCT_0039	191	1	.	.	.	.	.	.	2009/09/14	.	64649.6637942851	4.8	4.36	0.34925831941889		50.85	.
192-1	SCT_0066	192	1	.	.	.	.	.	.	2009/09/12	.	68241.3117828565	5.15	4.48	0.313842109181405		47.22	.
193-1	SCT_0051	193	1	.	.	.	.	.	.	2009/09/14	.	73987.9485645707	5	4.37	0.316566433045827		65.38	.
194-1	SCT_0091	194	1	.	.	.	.	.	.	2009/09/16	.	48846.412644571	4	4.52	0.254996713709892		47.22	.
195-1	SCT_0068	195	1	.	.	.	.	.	.	2009/09/16	.	57466.3678171423	5.4	4.42	0.320380486456018		39.95	.
196-1	SCT_0126	196	1	.	.	.	.	.	.	2009/10/05	.	72551.2893691421	5.35	4.4	0.366693992151191		34.5	.
197-1	SCT_0082	197	1	.	.	.	.	.	.	2009/09/14	.	40226.4574719996	4.65	4.41	0.296951301221989		47.22	.
198-1	SCT_0081	198	1	.	.	.	.	.	.	2009/09/16	.	58903.0270125709	5.4	4.51	0.30076535463218		43.58	.
199-1	SCT_0102	199	1	.	.	.	.	.	.	2009/09/14	.	38789.7982765711	5.15	4.55	0.296951301221989		36.32	.
200-1	SCT_0019	200	1	.	.	.	.	.	.	2009/09/12	.	61058.0158057137	4.95	4.5	0.239195635296245		43.58	.
201-1	SCT_0092	201	1	.	.	.	.	.	.	2009/09/14	.	43099.7758628567	4.75	4.44	0.272977251215077		41.77	.
202-1	SCT_0124	202	1	.	.	.	.	.	.	2009/09/16	.	51001.4014377138	5.4	4.41	0.331277781913706		54.48	.
203-1	SCT_0111	203	1	.	.	.	.	.	.	2009/09/16	.	73987.9485645707	5.4	4.46	0.295316706903336		54.48	.
204-1	SCT_0059	204	1	.	.	.	.	.	.	2009/09/16	.	61776.345403428	5.15	4.44	0.196696183011263		38.14	.
205-1	SCT_0022	205	1	.	.	.	.	.	.	2009/09/10	.	58903.0270125709	5.05	4.47	0.333457241005243		47.22	.
206-1	SCT_0088	206	1	.	.	.	.	.	.	2009/09/08	.	31606.5022994283	5	4.53	0.262624820530273		34.5	.
207-1	SCT_0134	207	1	.	.	.	.	.	.	2009/09/12	.	43818.105460571	5.2	4.35	0.383584800110607		34.5	.
208-1	SCT_0135	208	1	.	.	.	.	.	.	2009/09/10	.	47409.7534491424	5.1	4.64	0.26099022621162		39.95	.
209-1	SCT_0009	209	1	.	.	.	.	.	.	2009/09/16	.	23704.8767245712	6.45	4.43	0.378681017154647		43.58	.
210-1	SCT_0067	210	1	.	.	.	.	.	.	2009/09/12	.	61058.0158057137	4.45	4.49	0.286598870537186		41.77	.
211-1	SCT_0064	211	1	.	.	.	.	.	.	2009/09/12	.	43818.105460571	5.65	4.51	0.313297244408521		39.95	.
212-1	SCT_0105	212	1	.	.	.	.	.	.	2009/09/12	.	20831.5583337141	5.7	4.5	0.303489678496602		50.85	.
213-1	SCT_0113	213	1	.	.	.	.	.	.	2009/09/14	.	76142.9373577136	4.6	4.43	0.269163197804886		58.11	.
214-1	SCT_0140	214	1	.	.	.	.	.	.	2009/09/12	.	52438.0606331424	5.65	4.27	0.352527508056197		38.14	.
215-1	SCT_0049	215	1	.	.	.	.	.	.	2009/09/14	.	36634.8094834282	5.3	4.42	0.330732917140821		39.95	.
216-1	SCT_0027	216	1	.	.	.	.	.	.	2009/09/12	.	28014.8543108569	5.8	4.56	0.27461184553373		43.58	.
217-1	SCT_0083	217	1	.	.	.	.	.	.	2009/09/16	.	51001.4014377138	5.4	4.42	0.322559945547556		29.06	.
218-1	SCT_0043	218	1	.	.	.	.	.	.	2009/09/16	.	12929.932758857	6.25	4.7	0.324739404639093		45.4	.
219-1	SCT_0062	219	1	.	.	.	.	.	.	2009/09/16	.	63931.3341965708	6.25	4.39	0.364514533059653		45.4	.
220-1	SCT_0003	220	1	.	.	.	.	.	.	2009/09/16	.	70396.3005759993	5.5	4.34	0.336181564869665		43.58	.
221-1	SCT_0069	221	1	.	.	.	.	.	.	2009/09/14	.	39508.1278742853	6.1	4.36	0.416821551256554		56.3	.
222-1	SCT_0117	222	1	.	.	.	.	.	.	2009/09/12	.	62494.6750011423	4.95	4.43	0.266438873940464		45.4	.
223-1	SCT_0139	223	1	.	.	.	.	.	.	2009/09/14	.	58184.6974148566	6	4.44	0.305124272815255		39.95	.
224-1	SCT_0013	224	1	.	.	.	.	.	.	2009/10/05	.	18676.5695405713	6.4	4.51	0.339450753506972		49.03	.
225-1	SCT_0029	225	1	.	.	.	.	.	.	2009/09/16	.	52438.0606331424	5.9	4.49	0.251727525072586		34.5	.
226-1	SCT_0129	226	1	.	.	.	.	.	.	2009/09/10	.	39508.1278742853	5.05	4.56	0.251182660299701		38.14	.
227-1	SCT_0004	227	1	.	.	.	.	.	.	2009/09/14	.	33761.4910925711	5.65	4.36	0.37650155806311		41.77	.
228-1	SCT_0046	228	1	.	.	.	.	.	.	2009/09/16	.	80452.9149439992	5.35	4.42	0.281695087581227		45.4	.
229-1	SCT_0040	229	1	.	.	.	.	.	.	2009/09/16	.	66086.3229897136	5.5	4.49	0.325284269411977		50.85	.
230-1	SCT_0053	230	1	.	.	.	.	.	.	2009/09/12	.	71832.9597714279	4.7	4.5	0.300220489859296		45.4	.
231-1	SCT_0026	231	1	.	.	.	.	.	.	2009/09/12	.	67522.9821851422	5.45	4.65	0.272977251215077		50.85	.
232-1	SCT_0109	232	1	.	.	.	.	.	.	2009/09/12	.	40944.7870697139	5.3	4.55	0.290412923947377		54.48	.
233-1	SCT_0006	233	1	.	.	.	.	.	.	2009/10/03	.	25141.5359199998	5.75	4.5	0.329098322822168		47.22	.
234-1	SCT_0085	234	1	.	.	.	.	.	.	2009/09/14	.	45254.7646559996	5.35	4.46	0.338361023961203		32.69	.
235-1	SCT_0065	235	1	.	.	.	.	.	.	2009/09/12	.	51719.7310354281	4.75	4.44	0.321470216001787		41.77	.
236-1	SCT_0110	236	1	.	.	.	.	.	.	2009/09/12	.	58903.0270125709	5.4	4.53	0.319290756910249		34.5	.
237-1	SCT_0077	237	1	.	.	.	.	.	.	2009/09/14	.	43818.105460571	5.05	4.58	0.312752379635637		41.77	.
238-1	SCT_0086	238	1	.	.	.	.	.	.	2009/09/16	.	39508.1278742853	5.2	4.62	0.292592383038914		41.77	.
239-1	SCT_0017	239	1	.	.	.	.	.	.	2009/10/03	.	43099.7758628567	5.45	4.32	0.365604262605422		45.4	.
240-1	SCT_0120	240	1	.	.	.	.	.	.	2009/09/10	.	39508.1278742853	5.55	4.59	0.292592383038914			0.98
241-2	SCT_0061	241	2	.	.	.	.	.	.	2009/09/12	.	.	4.48	4.47	0.314931838727174			
242-2	SCT_0021	242	2	.	.	.	.	.	.	2009/09/12	.	.	4.56	4.67	0.237016176204707			
243-2	SCT_0001	243	2	.	.	.	.	.	.	2009/09/14	.	.	4.84	4.67	0.245189147797973			
244-2	SCT_0049	244	2	.	.	.	.	.	.	2009/09/14	.	.	5.05	4.45	0.315476703500059			
245-2	SCT_0142	245	2	.	.	.	.	.	.	2009/09/16	.	.	4.87	4.35	0.284964276218533			
246-2	SCT_0084	246	2	.	.	.	.	.	.	2009/09/14	.	.	4.73	4.39	0.327463728503515			
247-2	SCT_0071	247	2	.	.	.	.	.	.	2009/09/20	.	.	4.95	4.53	0.29204751826603			
248-2	SCT_0044	248	2	.	.	.	.	.	.	2009/09/16	.	.	4.89	4.37	0.342175077371393			
249-2	SCT_0103	249	2	.	.	.	.	.	.	2009/09/14	.	.	5.34	4.6	0.247913471662395			
250-2	SCT_0092	250	2	.	.	.	.	.	.	2009/09/12	.	.	4.83	4.51	0.277881034171036			
251-2	SCT_0064	251	2	.	.	.	.	.	.	2009/09/16	.	.	5.08	4.22	0.352527508056197			
252-2	SCT_0027	252	2	.	.	.	.	.	.	2009/09/16	.	.	4.51	4.47	0.295316706903336			
253-2	SCT_0005	253	2	.	.	.	.	.	.	2009/10/05	.	.	6.28	4.4	0.312752379635637			
254-2	SCT_0125	254	2	.	.	.	.	.	.	2009/09/16	.	.	4.03	4.22	0.360155614876578			
255-2	SCT_0129	255	2	.	.	.	.	.	.	2009/09/12	.	.	4.66	4.34	0.278970763716805			
256-2	SCT_0022	256	2	.	.	.	.	.	.	2009/09/12	.	.	4.23	4.35	0.272432386442192			
257-2	SCT_0034	257	2	.	.	.	.	.	.	2009/09/14	.	.	4.76	4.31	0.331277781913706			
258-2	SCT_0086	258	2	.	.	.	.	.	.	2009/09/16	.	.	5.27	4.4	0.319290756910249			
259-2	SCT_0075	259	2	.	.	.	.	.	.	2009/09/16	.	.	4.33	4.48	0.277881034171036			
260-2	SCT_0040	260	2	.	.	.	.	.	.	2009/10/02	.	.	5.13	4.36	0.326918863730631			
261-2	SCT_0111	261	2	.	.	.	.	.	.	2009/09/14	.	.	5.65	4.42	0.306214002361024			
262-2	SCT_0038	262	2	.	.	.	.	.	.	2009/09/16	.	.	4.56	4.23	0.394482095568294			
263-2	SCT_0077	263	2	.	.	.	.	.	.	2009/09/12	.	.	4.88	4.58	0.268618333032001			
264-2	SCT_0051	264	2	.	.	.	.	.	.	2009/09/14	.	.	5.29	4.31	0.363424803513884			
265-2	SCT_0123	265	2	.	.	.	.	.	.	2009/09/10	.	.	4.97	4.5	0.264804279621811			
266-2	SCT_0082	266	2	.	.	.	.	.	.	2009/09/12	.	.	4.88	4.38	0.308393461452562			
267-2	SCT_0069	267	2	.	.	.	.	.	.	2009/09/16	.	.	4.92	4.5	0.293682112584683			
268-2	SCT_0112	268	2	.	.	.	.	.	.	2009/09/16	.	.	5.69	4.44	0.359065885330809			
269-2	SCT_0002	269	2	.	.	.	.	.	.	2009/09/16	.	.	5.87	4.45	0.30948319099833			
270-2	SCT_0104	270	2	.	.	.	.	.	.	2009/09/14	.	.	5.76	4.48	0.315476703500059			
271-2	SCT_0039	271	2	.	.	.	.	.	.	2009/09/16	.	.	4.35	4.38	0.303489678496602			
272-2	SCT_0139	272	2	.	.	.	.	.	.	2009/09/12	.	.	6.27	4.39	0.337816159188318			
273-2	SCT_0062	273	2	.	.	.	.	.	.	2009/09/12	.	.	5.33	4.36	0.362335073968116			
274-2	SCT_0024	274	2	.	.	.	.	.	.	2009/09/16	.	.	4.69	4.5	0.262079955757389			
275-2	SCT_0116	275	2	.	.	.	.	.	.	2009/09/12	.	.	5.12	4.48	0.286598870537186			
276-2	SCT_0043	276	2	.	.	.	.	.	.	2009/09/22	.	.	6.13	4.38	0.428263711487126			
277-2	SCT_0035	277	2	.	.	.	.	.	.	.	.	.	.	.	.			
278-2	SCT_0091	278	2	.	.	.	.	.	.	2009/09/28	.	.	4.18	4.36	0.296406436449105			
279-2	SCT_0099	279	2	.	.	.	.	.	.	2009/10/05	.	.	5.15	4.33	0.347078860327353			
280-2	SCT_0052	280	2	.	.	.	.	.	.	2009/09/22	.	.	5.18	4.14	0.356886426239272			
281-2	SCT_0136	281	2	.	.	.	.	.	.	2009/09/18	.	.	5.03	4.5	0.316566433045827			
282-2	SCT_0019	282	2	.	.	.	.	.	.	2009/09/16	.	.	4.17	4.43	0.254451848937008			
283-2	SCT_0015	283	2	.	.	.	.	.	.	2009/09/16	.	.	7.22	4.49	0.31438697395429			
284-2	SCT_0093	284	2	.	.	.	.	.	.	2009/09/12	.	.	5.7	4.61	0.252817254618354			
285-2	SCT_0119	285	2	.	.	.	.	.	.	2009/09/10	.	.	5.07	4.59	0.251727525072586			
286-2	SCT_0016	286	2	.	.	.	.	.	.	2009/10/09	.	.	5.9	4.22	0.397751284205601			
287-2	SCT_0090	287	2	.	.	.	.	.	.	2009/10/05	.	.	5.15	4.33	0.339995618279856			
288-2	SCT_0041	288	2	.	.	.	.	.	.	2009/09/14	.	.	4.76	4.52	0.239195635296245			
289-2	SCT_0014	289	2	.	.	.	.	.	.	2009/10/02	.	.	6.09	4.39	0.298041030767758			
290-2	SCT_0101	290	2	.	.	.	.	.	.	2009/09/16	.	.	5.86	4.3	0.359065885330809			
291-2	SCT_0066	291	2	.	.	.	.	.	.	2009/09/12	.	.	5.1	4.47	0.276791304625267			
292-2	SCT_0081	292	2	.	.	.	.	.	.	2009/09/16	.	.	4.61	4.46	0.288778329628724			
293-2	SCT_0060	293	2	.	.	.	.	.	.	2009/09/12	.	.	5.64	4.52	0.313842109181405			
294-2	SCT_0078	294	2	.	.	.	.	.	.	2009/09/12	.	.	4.77	4.4	0.30948319099833			
295-2	SCT_0023	295	2	.	.	.	.	.	.	2009/09/12	.	.	5.58	4.64	0.242464823933551			
296-2	SCT_0126	296	2	.	.	.	.	.	.	2009/09/16	.	.	5.17	4.42	0.316021568272943			
297-2	SCT_0031	297	2	.	.	.	.	.	.	2009/09/16	.	.	4.45	4.23	0.331277781913706			
298-2	SCT_0110	298	2	.	.	.	.	.	.	2009/09/16	.	.	5.16	4.49	0.289323194401608			
299-2	SCT_0026	299	2	.	.	.	.	.	.	2009/09/16	.	.	4.77	4.49	0.286054005764302			
300-2	SCT_0122	300	2	.	.	.	.	.	.	2009/09/10	.	.	4.57	4.62	0.215221585289332			
301-2	SCT_0018	301	2	.	.	.	.	.	.	2009/09/16	.	.	6.01	4.56	0.287143735310071			
302-2	SCT_0074	302	2	.	.	.	.	.	.	.	.	.	.	.	.			
303-2	SCT_0097	303	2	.	.	.	.	.	.	2009/09/10	.	.	5.34	4.37	0.295316706903336			
304-2	SCT_0083	304	2	.	.	.	.	.	.	2009/09/16	.	.	4.73	4.45	0.266983738713348			
305-2	SCT_0063	305	2	.	.	.	.	.	.	2009/09/16	.	.	4.29	4.34	0.296951301221989			
306-2	SCT_0058	306	2	.	.	.	.	.	.	2009/09/16	.	.	5.62	4.44	0.335636700096781			
307-2	SCT_0140	307	2	.	.	.	.	.	.	2009/09/12	.	.	5.04	4.28	0.367783721696959			
308-2	SCT_0013	308	2	.	.	.	.	.	.	2009/09/20	.	.	6.01	4.47	0.295861571676221			
309-2	SCT_0065	309	2	.	.	.	.	.	.	2009/09/14	.	.	4.87	4.45	0.292592383038914			
310-2	SCT_0053	310	2	.	.	.	.	.	.	2009/09/16	.	.	5.6	4.28	0.396661554659832			
311-2	SCT_0141	311	2	.	.	.	.	.	.	2009/09/16	.	.	4.66	4.44	0.251182660299701			
312-2	SCT_0085	312	2	.	.	.	.	.	.	2009/09/16	.	.	5.39	4.38	0.319290756910249			
313-2	SCT_0133	313	2	.	.	.	.	.	.	2009/09/14	.	.	4.55	4.69	0.187978346645113			
314-2	SCT_0012	314	2	.	.	.	.	.	.	2009/09/16	.	.	6.38	4.48	0.314931838727174			
315-2	SCT_0003	315	2	.	.	.	.	.	.	2009/09/14	.	.	5.34	4.43	0.319290756910249			
316-2	SCT_0089	316	2	.	.	.	.	.	.	2009/09/16	.	.	4.79	4.61	0.243009688706435			
317-2	SCT_0050	317	2	.	.	.	.	.	.	2009/09/12	.	.	4.5	4.49	0.317656162591596			
318-2	SCT_0118	318	2	.	.	.	.	.	.	2009/09/16	.	.	4.29	4.38	0.326918863730631			
319-2	SCT_0120	319	2	.	.	.	.	.	.	2009/09/10	.	.	4.8	4.67	0.252817254618354			
320-2	SCT_0009	320	2	.	.	.	.	.	.	2009/09/16	.	.	6.44	4.58	0.322015080774671			
